"","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code","plant_genus_2013","plant_species_2013","plant_genus","plant_species","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","Problem","status","project","gs"
"1","NAT.CIG2012_0001","2012_DEC",2012,1,"6/8/12","DF","PM",1,"C","L","Ceratina","calcarata","","CHECK","J.Ascher","","11/11/12","bee",NA,"ANCO2","Anthemis","cotula","Anthemis","cotula","no","GKN",39.919101,-74.790498,"",NA,"","","",NA,"KEPT","Davis_CIG","Ceratina_calcarata"
"2","NAT.CIG2012_0002","2012_ABT",2012,1,"6/19/12","AB","AM",2,"T","R","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
"3","NAT.CIG2012_0003","2012_ABC",2012,3,"8/9/12","AB","AM",3,"C","l","Bombus","impatiens","","f","J.Ascher","","11/11/12","bee",NA,"DEPA6","Desmodium","paniculatum","Desmodium","paniculatum","no","BGJ",39.772882,-74.772184,"",1,"","","",NA,"CHECK","Davis_CIG","Bombus_impatiens"
"4","NAT.CIG2012_0004","2012_ALT",2012,1,"6/13/12","AL","PM",3,"T","L","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"BRJU","Brassica","juncea","Brassica","juncea","no","BGJ",40.926863,-74.813052,"",1,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
"5","NAT.CIG2012_0005","2012_BWT",2012,3,"8/7/12","BW","PM",2,"T","R","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"GAPU","Gaillardia","pulchella","Gaillardia","pulchella","yes","BGJ",39.536073,-74.932563,"",1,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
"6","NAT.CIG2012_0006","2012_BWT",2012,3,"8/7/12","BW","PM",4,"T","R","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"GAPU","Gaillardia","pulchella","Gaillardia","pulchella","yes","GKN",39.536073,-74.932563,"",1,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
"7","NAT.CIG2012_0007","2012_BWT",2012,3,"8/7/12","BW","AM",4,"T","R","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"GAPU","Gaillardia","pulchella","Gaillardia","pulchella","yes","GKN",39.536073,-74.932563,"",1,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
"8","NAT.CIG2012_0008","2012_MAC",2012,1,"6/14/12","MA","AM",1,"C","R","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"HIPR3","Hieracium","praealtum","Hieracium","praealtum","no","BGJ",39.264481,-74.719008,"",NA,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
"9","NAT.CIG2012_0009","2012_MAC",2012,1,"6/14/12","MA","AM",3,"C","R","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"HIPR3","Hieracium","praealtum","Hieracium","praealtum","no","GKN",39.264481,-74.719008,"",NA,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
"10","NAT.CIG2012_0010","2012_MAC",2012,1,"6/14/12","MA","AM",2,"C","L","Agapostemon","virescens","","f","J.Ascher","","11/11/12","bee",NA,"HIPR3","Hieracium","praealtum","Hieracium","praealtum","no","JWB",39.264481,-74.719008,"",NA,"","","",NA,"KEPT","Davis_CIG","Agapostemon_virescens"
