uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem?
NAT.CIG2012_0164,2012_ABC,2012,1,6/19/12,AB,AM,1,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0165,2012_ABC,2012,1,6/19/12,AB,AM,1,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0166,2012_ABC,2012,1,6/19/12,AB,AM,1,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0167,2012_ABC,2012,1,6/19/12,AB,AM,1,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0168,2012_ABC,2012,1,6/19/12,AB,AM,1,C,L,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0169,2012_ABC,2012,1,6/19/12,AB,AM,1,C,R,Bombus,griseocollis,Bombus_griseocollis,,m,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0310,2012_ABC,2012,1,6/19/12,AB,AM,1,C,L,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0311,2012_ABC,2012,1,6/19/12,AB,AM,1,C,R,Bombus,griseocollis,Bombus_griseocollis,,f,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_0851,2012_ABC,2012,1,6/19/12,AB,AM,1,C,L,Halictus,confusus,Halictus_confusus,,f,J.Ascher,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
NAT.CIG2012_1131,2012_ABC,2012,1,6/19/12,AB,AM,1,C,R,Lasioglossum,pilosum,Lasioglossum_pilosum,,f,J.Gibbs,,0000-00-00,bee,,ASSY,Asclepias,syriaca,Asclepias,syriaca,Asclepias_syriaca,no,GKN,39.772882,-74.772184,,,,,
