uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,Problem?
XCIG2014_1149,2014_ABC,2014,1,6/14/14,AB,AM,2,C,NULL,Lasioglossum,versatum,Lasioglossum_versatum,f,Gibbs,,12/1/14,bee,NA,Milkweed,NA,NA,Apocynum,cannabinum,Apocynum_cannabinum,NA,JZ,39.772882,-74.772184,NA,NA,NA,NA,
XCIG2014_1146,2014_ABC,2014,1,6/14/14,AB,PM,2,C,NULL,Lasioglossum,trigeminum,Lasioglossum_trigeminum,f,Gibbs,,12/1/14,bee,NA,Milkweed,NA,NA,Apocynum,cannabinum,Apocynum_cannabinum,NA,JZ,39.772882,-74.772184,NA,NA,NA,NA,
XCIG2014_1147,2014_ABC,2014,1,6/14/14,AB,PM,2,C,NULL,Lasioglossum,versatum,Lasioglossum_versatum,f,Gibbs,,12/1/14,bee,NA,Milkweed,NA,NA,Apocynum,cannabinum,Apocynum_cannabinum,NA,JZ,39.772882,-74.772184,NA,NA,NA,NA,
XCIG2014_1152,2014_ABT,2014,1,6/14/14,AB,AM,2,T,NULL,Bombus,impatiens,Bombus_impatiens,f,Gibbs,,12/1/14,bee,NA,TRRE3,NA,NA,Trifolium,repens,Trifolium_repens,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1153,2014_ABT,2014,1,6/14/14,AB,AM,2,T,NULL,Megachile,mendica,Megachile_mendica,m,Gibbs,,12/1/14,bee,NA,TRRE3,NA,NA,Trifolium,repens,Trifolium_repens,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1154,2014_ABT,2014,1,6/14/14,AB,AM,2,T,NULL,Hoplitis,producta,Hoplitis_producta,f,Gibbs,,12/1/14,bee,NA,TRRE3,NA,NA,Trifolium,repens,Trifolium_repens,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1155,2014_ABT,2014,1,6/14/14,AB,AM,2,T,NULL,Halictus,ligatus,Halictus_ligatus,f,Gibbs,,12/1/14,bee,NA,TRRE3,NA,NA,Trifolium,repens,Trifolium_repens,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1148,2014_ABT,2014,1,6/14/14,AB,PM,1,T,NULL,Halictus,confusus,Halictus_confusus,f,Gibbs,,12/1/14,bee,NA,TRAR4,NA,NA,Trifolium,arvense,Trifolium_arvense,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1150,2014_ABT,2014,1,6/14/14,AB,PM,1,T,NULL,Andrena,wilkella,Andrena_wilkella,f,Gibbs,,12/1/14,bee,NA,TRRE3,NA,NA,Trifolium,repens,Trifolium_repens,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1151,2014_ABT,2014,1,6/14/14,AB,PM,1,T,NULL,Xylocopa,virginica,Xylocopa_virginica,m,Gibbs,,12/1/14,bee,NA,TRRE3,NA,NA,Trifolium,repens,Trifolium_repens,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1145,2014_ABT,2014,1,6/14/14,AB,PM,2,T,NULL,Osmia,virga,Osmia_virga,f,Gibbs,,12/1/14,bee,NA,TRRE3,NA,NA,Trifolium,repens,Trifolium_repens,NA,JZ,39.780504,-74.767308,NA,NA,NA,NA,
XCIG2014_1081,2014_ALC,2014,1,6/6/14,AL,AM,1,C,NULL,Ceratina,mikmaqi,Ceratina_mikmaqi,m,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1082,2014_ALC,2014,1,6/6/14,AL,AM,1,C,NULL,Ceratina,calcarata,Ceratina_calcarata,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1083,2014_ALC,2014,1,6/6/14,AL,AM,1,C,NULL,Ceratina,strenua,Ceratina_strenua,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1084,2014_ALC,2014,1,6/6/14,AL,AM,2,C,NULL,Ceratina,strenua,Ceratina_strenua,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1085,2014_ALC,2014,1,6/6/14,AL,AM,2,C,NULL,Ceratina,strenua,Ceratina_strenua,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1073,2014_ALC,2014,1,6/6/14,AL,PM,1,C,NULL,Ceratina,mikmaqi,Ceratina_mikmaqi,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1074,2014_ALC,2014,1,6/6/14,AL,PM,1,C,NULL,Ceratina,strenua,Ceratina_strenua,m,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1076,2014_ALC,2014,1,6/6/14,AL,PM,2,C,NULL,Ceratina,strenua,Ceratina_strenua,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1077,2014_ALC,2014,1,6/6/14,AL,PM,2,C,NULL,Ceratina,strenua,Ceratina_strenua,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1078,2014_ALC,2014,1,6/6/14,AL,PM,2,C,NULL,Ceratina,strenua,Ceratina_strenua,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1079,2014_ALC,2014,1,6/6/14,AL,PM,2,C,NULL,Ceratina,strenua,Ceratina_strenua,f,Gibbs,,12/1/14,bee,NA,ERPH,NA,NA,Erigeron,philadelphicus,Erigeron_philadelphicus,NA,JZ,40.92378,-74.813615,NA,NA,NA,NA,
XCIG2014_1086,2014_ALT,2014,1,6/6/14,AL,AM,1,T,NULL,Halictus,ligatus,Halictus_ligatus,f,Gibbs,,12/1/14,bee,NA,LEVU,NA,NA,Leucanthemum,vulgare,Leucanthemum_vulgare,NA,JZ,40.926863,-74.813052,NA,NA,NA,NA,
XCIG2014_1080,2014_ALT,2014,1,6/6/14,AL,AM,2,T,NULL,Andrena,alleghaniensis,Andrena_alleghaniensis,f,Gibbs,,12/1/14,bee,NA,LEVU,NA,NA,Leucanthemum,vulgare,Leucanthemum_vulgare,NA,JZ,40.926863,-74.813052,NA,NA,NA,NA,
XCIG2014_1066,2014_ALT,2014,1,6/6/14,AL,PM,1,T,NULL,Augochlora,pura,Augochlora_pura,f,Gibbs,,12/1/14,bee,NA,LEVU,NA,NA,Leucanthemum,vulgare,Leucanthemum_vulgare,NA,JZ,40.926863,-74.813052,NA,NA,NA,NA,
