site,observer,collection_date,plant_genus,plant_species,individual_plant,inf_number,flower_number,c_width_1_px,c_width_2_px,c_depth1_px,c_depth2_px,c_depth3_px,width,c_width_2_mm,depth,c_depth2_mm,c_depth_3_mm,magnification,flower_type,photo_reference,plant_code,live,notes,**make sure all measurement photos are saved in jp2 format
RO,,30-Jun,Centaurea,maculosa,,1,1,406.98,,1036.7,none,,1.386299149,,3.531319297,#VALUE!,,1,disc,,CEBI2_d,,**inf number is unique within flower species (i.e. both CEBI2 and LEVU will each have an inf1) ,
RO,,30-Jun,Centaurea,maculosa,,1,2,374.5,,966.22,none,,1.275662271,,3.291242723,,,1,disc,,CEBI2_d,,**flower number is unique within infloescence number,
RO,,30-Jun,Centaurea,maculosa,,1,3,350.19,,948.62,none,,1.192854929,,3.231291706,#VALUE!,,1,disc,,CEBI2_d,,293.573,
RO,,30-Jun,Centaurea,maculosa,,2,1,387.35,,822.53,,,1.319433327,,2.801790355,10.45,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,2,2,365.64,,830.96,,,1.245482384,,2.83050553,9.36,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,2,3,281.85,,678.2,,,0.960067854,,2.31015795,9.08,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,3,1,328.65,,746.61,,,1.119483059,,2.543183467,9.36,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,3,2,318.3,,939.88,,,1.084227773,,3.201520576,8.23,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,3,3,314.72,,755.04,,,1.072033191,,2.571898642,9.35,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,4,1,295.66,,711.75,,,1.007108964,,2.424439577,9.71,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,4,2,331.55,,754.39,,,1.129361351,,2.569684542,10.37,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,4,3,368.08,,804.25,,,1.253793775,,2.739523049,9.33,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,5,1,299.44,,842.54,,,1.019984808,,2.869950574,9.65,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,5,2,285.3,,695.83,,,0.971819616,,2.370211157,11.1,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,5,3,344.67,,843.35,,,1.17405211,,2.872709684,10.17,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,6,1,357.185,,672.21,,,1.216682052,,2.289754167,10.52,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,6,2,335.07,,767.81,,,1.141351555,,2.615397193,10.17,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,6,3,359.07,,773.855,,,1.223102942,,2.635988323,10.765,,1,disc,,CEBI2_d,,,
RO,,30-Jun,Centaurea,maculosa,,6,4,386.12,,731.965,,,1.315243568,,2.493298089,11.155,,1,disc,,CEBI2_d,,,
NENE,,30-Jun,Leucanthemum,vulgare,a,1,1,253.71,,498.4,403.85,391.34,0.864214352,,1.697703808,1.375637405,,1,disc,,LEVU_d,,,
