bee_gensp,meanIT,meantongue
Agapostemon_sericeus,1.896,2.550374081
Agapostemon_splendens,2.384285714,3.177920665
Agapostemon_texanus,1.9175,2.578131375
Agapostemon_virescens,2.085285714,2.794332176
Andrena_alleghaniensis,2.048117826,2.109631518
Andrena_andrenoides,1.55,1.614448871
Andrena_arabis,1.9,1.962950383
Andrena_asteris,2.7375,2.787185205
Andrena_atlantica,2.008888889,2.070825696
Andrena_banksi,1.650585788,1.714898587
Andrena_barbara,1.938636364,2.001254704
Andrena_barbilabris,1.425,1.489251805
Andrena_bisalicis,2.078166667,2.139336126
Andrena_braccata,2.93,2.975080907
Andrena_bradleyi,1.819212304,1.882755455
Andrena_brevipalpis,1.9,1.962950383
Andrena_canadensis,1.925,1.98773905
Andrena_carlini,2.527036524,2.581148097
Andrena_carolina,1.764333333,1.828198208
Andrena_ceanothi,2.375,2.431884444
Andrena_cornelli,1.9,1.962950383
Andrena_cressonii,1.815172249,1.878741353
Andrena_distans,1.95,2.012514843
Andrena_erigeniae,1.3,1.363614101
Andrena_erythrogaster,2.116666667,2.177370011
Andrena_fenningeri,1.936571429,1.999208293
Andrena_fragilis,2.05,2.11149264
Andrena_frigida,2.664285714,2.715585178
Andrena_geranii,2.175,2.234944568
Andrena_hilaris,2.5125,2.56689257
Andrena_hirticincta,2.9125,2.958020381
Andrena_imitatrix,1.81729693,1.88085243
Andrena_integra,1.4875,1.551902957
Andrena_krigiana,1.35,1.413924706
Andrena_mandibularis,2.042857143,2.104429314
Andrena_melanochroa,1.125,1.186894963
Andrena_miranda,2.0375,2.099131172
Andrena_miserabilis,1.698214286,1.762376348
Andrena_morrisonella,1.597768513,1.662184275
Andrena_nasonii,1.551748445,1.616197131
Andrena_nida,1.95,2.012514843
Andrena_nigrihirta,2.225,2.284244984
Andrena_nubecula,1.8375,1.900921222
Andrena_nuda,2.05,2.11149264
Andrena_perplexa,2.397231455,2.453733737
Andrena_persimulata,2.0875,2.14855903
Andrena_placata,2.23125,2.2904044
Andrena_platyparia,2.1875,2.247273882
Andrena_pruni,2.367206794,2.424223271
Andrena_robertsonii,1.718857143,1.782937244
Andrena_rudbeckiae,2.689,2.739763247
Andrena_rufosignata,2.566666667,2.61999557
Andrena_rugosa,2.235714286,2.294803561
Andrena_salictaria,1.625,1.689371238
Andrena_sigmundi,2.7375,2.787185205
Andrena_simplex,2.3375,2.39501049
Andrena_spiraeana,2.328571429,2.386227504
Andrena_thaspii,2.5625,2.615912327
Andrena_tridens,2.095857143,2.156815894
Andrena_vicina,2.493269185,2.548028422
Andrena_virginiana,2.233333333,2.292457385
Andrena_wilkella,2.182970324,2.242806385
Andrena_ziziae,1.3,1.363614101
Andrena_forbesii,1.996232624,2.058299498
Andrena_hippotes,1.880469253,1.943575664
Anthidiellum_notatum,2.317142857,4.189829054
Anthidiellum_oblongatum,2.503517013,4.512842032
Anthidium_manicatum,3.480483559,6.191781321
Anthidium_oblongatum,2.7,4.852335488
Anthophora_terminalis,3.608333333,7.301195672
Apis_mellifera,2.888352941,5.896629673
Augochlora_pura,1.64183871,2.22124446
Augochlorella_aurata,1.488846154,2.022157213
Augochlorella_persimilis,1.27,1.735923804
Augochlorella_unknown,1.246,1.704419158
Augochloropsis_metallica,1.839,2.476723623
Augochloropsis_sumptuosa,2.076363636,2.782853629
Bombus_affinis,5.63375,11.19812399
Bombus_ashtoni,4.690909091,9.392611067
Bombus_auricomus,5.302083333,10.56448403
Bombus_bimaculatus,4.348418605,8.733286243
Bombus_borealis,5.525,10.99052895
Bombus_citrinus,4.092533333,8.239334597
Bombus_fervidus,3.792222222,7.658040011
Bombus_griseocollis,4.992607843,9.971809194
Bombus_impatiens,4.930735632,9.853144515
Bombus_pensylvanicus,4.91474359,9.822463729
Bombus_perplexus,4.127037736,8.306011073
Bombus_ternarius,4.0640625,8.184300494
Bombus_terricola,4.233928571,8.512426779
Bombus_vagans,3.254064103,6.611631853
Calliopsis_andreniformis,1.274333333,1.337758092
Ceratina_calcarata,1.261979592,2.663114517
Ceratina_calcarata/dupla,1.165111111,2.466563233
Ceratina_calcarata_dupla_mikmaqi,1.433914286,3.010522431
Ceratina_strenua,0.98225,2.093691835
Ceratina_dupla,1.268836031,2.677003174
Ceratina_mikmaqi,1.353354912,2.847966253
Chelostoma_philadelphi,1.4475,2.667076274
Coelioxys_hunteri,2.109,3.82785187
Coelioxys_immaculata,2.795,5.016122642
Coelioxys_modesta,2.386666667,4.310440985
Coelioxys_octodentata,2.539142857,4.574474983
Coelioxys_porterae,2.7,4.852335488
Coelioxys_rufitarsis,2.5,4.506755681
Coelioxys_sayi,2.5482,4.590138369
Colletes_americanus,2.65,2.191868474
Colletes_bradleyi,1.7,1.431295862
Colletes_compactus,3.36,2.752860204
Colletes_inaequalis,2.907005316,2.395556643
Colletes_kincaidii,2.6,2.152151625
Colletes_simulans,2.822222222,2.32844514
Colletes_thoracicus,3.198791667,2.62594103
Colletes_validus,2.880082198,2.374253783
Colletes_latitaris,2.051585125,1.714369419
Colletes_nudus,2.426296015,2.013930526
Epeolus_pusillus,1.953125,4.050237039
Epeolus_scutellaris,2.203125,4.546709181
Eucera_hamata,3.33,6.759678918
Habropoda_laboriosa,3.741271768,7.559239231
Halictus_confusus,1.395346663,1.900088895
Halictus_ligatus,1.82,2.452153309
Halictus_ligatus_poeyi,1.700098312,2.296858078
Halictus_parallelus,2.319555556,3.095050034
Halictus_rubicundus,1.938777778,2.605589517
Heriades_carinata,1.479,2.722770607
Heriades_carinatus,1.342857143,2.481705411
Heriades_leavitti,1.704,3.119266014
Heriades_variolosa,1.275582791,2.362228538
Holcopasites_calliopsidis,1.045,2.221934449
Hoplitis_pilosifrons,1.714958333,3.138520982
