"","uniqueID","X.13","plant_code","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus.x","species.x","X.x","ssp","X.1.x","sex.x","detby","X.2.x","Taxonomy_notes","X.3","basicID","non_bee_desc1","X.4","X.5","plant_genus","plant_species","plant_genus_esa","plant_species_esa","X.6","X.7","planted","lon","spec_notes","plant_check1","plant_check2","error_redo","X.8","X.9","X.10","X.11","X.12","id.x","Synonym","CommonName","Family","Genus","Species","Extra","notes","X.y","id.y","genus.y","species.y","gen_sp","sex.y","observedIT_pxl","conversion","Itlength_mm","measured_by","Box.name","X.1.y","X.2.y"
"1","XCIG2014_1496",117,"TRRE3","","2014","2","20140705","AB","AM","2","T","","Bombus","impatiens","","","1496","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","5-Jul","AB","HP","M. Roswell","5-Jul-14","Abrams","39.780504","-74.767308","Burlington Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1496,"Bombus","impatiens","Bombus_impatiens","f",955.26,293.573,"3.25390959","RT","Impatiens 1",NA,""
"2","XCIG2014_1354",119,"TRRE3","","2014","1","20140627","DO","AM","2","T","","Bombus","griseocollis","","","1354","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1354,"Bombus","griseocollis","Bombus_griseocollis","f",1083.99,293.573,"3.692403593","RT","Gris 1 ",NA,""
"3","XCIG2014_1342",120,"TRRE3","","2014","1","20140627","DO","PM","2","T","","Bombus","griseocollis","","","1342","m","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1342,"Bombus","griseocollis","Bombus_griseocollis","m",1327.08,293.573,"4.520442956","RT","Gris 1",NA,""
"4","XCIG2014_1356",121,"TRRE3","","2014","1","20140627","DO","AM","2","T","","Bombus","impatiens","","","1356","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1356,"Bombus","impatiens","Bombus_impatiens","f",906.89,293.573,"3.089146481","RT","Impatiens 1",NA,""
"5","XCIG2014_1338",124,"TRRE3","","2014","1","20140627","DO","AM","1","T","","Bombus","griseocollis","","","1338","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1338,"Bombus","griseocollis","Bombus_griseocollis","f",1191.69,293.573,"4.059262943","KH","Gris 1",NA,""
"6","XCIG2014_1355",127,"TRRE3","","2014","1","20140627","DO","AM","2","T","","Bombus","impatiens","","","1355","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1355,"Bombus","impatiens","Bombus_impatiens","f",1103.33,293.573,"3.758281586","RT","Impatiens 1",NA,""
"7","XCIG2014_1332",129,"TRRE3","","2014","1","20140627","DO","PM","1","T","","Bombus","impatiens","","","1332","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1332,"Bombus","impatiens","Bombus_impatiens","f",915.6,293.573,"3.118815422","KH","Impatiens 1",NA,""
"8","XCIG2014_1331",130,"TRRE3","","2014","1","20140627","DO","PM","1","T","","Bombus","impatiens","","","1331","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1331,"Bombus","impatiens","Bombus_impatiens","f",1074.71,293.573,"3.660793057","KH","Impatiens 1",NA,""
"9","XCIG2014_1424",131,"TRRE3","","2014","2","20140705","AB","PM","1","T","","Bombus","impatiens","","","1424","f","","","","Big dark fuzzy","bee","","","MR",NA,NA,"Leucanthemum","repens","5-Jul","AB","HP","M. Roswell","5-Jul-14","Abrams","39.780504","-74.767308","Burlington Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1424,"Bombus","impatiens","Bombus_impatiens","f",918.8,293.573,"3.129715607","KH","Impatiens 1",NA,""
"10","XCIG2014_1339",133,"TRRE3","","2014","1","20140627","DO","AM","1","T","","Bombus","impatiens","","","1339","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1339,"Bombus","impatiens","Bombus_impatiens","f",1052.19,293.573,"3.584083005","RT","Impatiens 1",NA,""
"11","XCIG2014_1152",135,"TRRE3","","2014","1","20140614","AB","AM","2","T","","Bombus","impatiens","","","1152","f","J_Gibbs","","","Bombus impatiens f","bee","","","JZ",NA,NA,"Leucanthemum","repens","14-Jun","AB","HP","J. Zientek","14-Jun-14","Abrams","39.780504","-74.767308","Burlington Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1152,"Bombus","impatiens","Bombus_impatiens","f",980.44,293.573,"3.33968042","RT","Impatiens 1",NA,""
"12","XCIG2014_1330",136,"TRRE3","","2014","1","20140627","DO","PM","1","T","","Bombus","griseocollis","","","1330","f","","","","Bombus","bee","","","MR",NA,NA,"Leucanthemum","repens","27-Jun","DO","HP","M. Roswell","27-Jun-14","Dottavio","39.49369","-74.96606","Cumberland Co.","USA NJ","","","",12952,NA,"white clover","Fabaceae","Trifolium","repens","L.","","XCIG2014",1330,"Bombus","griseocollis","Bombus_griseocollis","f",1256.82,293.573,"4.28111577","KH","Gris 1",NA,""
