bee	UniqueID	ITlength_mm
Agapostemon_sericeus	MR12653	1.974558628
Agapostemon_sericeus	MR15949	1.986564841
Agapostemon_sericeus	MR19880	2.019883981
Agapostemon_sericeus	MR24667	1.876473654
Andrena_brevipalpis	MR13616	1.425448185
Andrena_commoda	MR10038	2.18122341
Andrena_commoda	MR10040	2.258871558
Andrena_commoda	MR24485	2.452025561
Andrena_commoda	MR30548	2.529488747
Andrena_cressonii	MR10042	1.997484782
Andrena_cressonii	MR10044	1.867588641
Andrena_cressonii	MR10565	1.933025857
Andrena_cressonii	MR24490	1.917611804
Andrena_cressonii	MR24504	1.945654062
Andrena_cressonii	MR24519	2.024243033
Andrena_duplicata	MR14173	1.708280394
Andrena_duplicata	MR14174	1.639557112
Andrena_duplicata	MR14175	1.497493639
Andrena_duplicata	MR14176	1.743258406
Andrena_duplicata	MR14180	1.840671315
Andrena_fragilis	MR12752	1.630598182
Andrena_fragilis	MR19412	1.661306387
Andrena_fragilis	MR24288	1.62459252
Andrena_fragilis	MR24289	1.50807312
Andrena_fragilis	MR24338	1.702230621
Andrena_fragilis	MR27736	1.758330637
Andrena_hippotes	MR10030	1.865787044
Andrena_hippotes	MR10031	1.787658947
Andrena_hippotes	MR10356	1.900225838
Andrena_hippotes	MR10366	2.043251253
Andrena_hippotes	MR13261	1.812664993
Andrena_hippotes	MR24599	2.11757757
Andrena_krigiana	MR10099	1.40986092
Andrena_krigiana	MR10410	1.832207322
Andrena_krigiana	MR10411	1.524898748
Andrena_krigiana	MR10415	1.798432077
Andrena_krigiana	MR10418	1.656029335
Andrena_krigiana	MR23236	1.818291192
Andrena_krigiana	MR23238	1.931933284
Andrena_krigiana	MR25128	1.611597797
Andrena_nasonii	MR22900	1.495602797
Andrena_nasonii	MR24472	1.664308026
Andrena_nasonii	MR24531	1.586769219
Andrena_nuda	MR10029	1.893053517
Andrena_platyparia	MR13260	1.636069053
Andrena_platyparia	MR24532	1.4905819
Andrena_pruni	MR10026	2.414427417
Andrena_pruni	MR10027	2.063984426
Andrena_pruni	MR10443	2.082576736
Andrena_pruni	MR10564	2.239288354
Andrena_pruni	MR23668	2.27049337
Andrena_robertsonii	MR10009	1.675442905
Andrena_robertsonii	MR10047	1.478382889
Andrena_robertsonii	MR10367	1.621788788
Andrena_robertsonii	MR10376	1.570064345
Andrena_robertsonii	MR24557	1.406080941
Andrena_rudbeckiae	MR26664	2.755175714
Andrena_rudbeckiae	MR26665	2.353921171
Andrena_rudbeckiae	MR26679	2.600945932
Andrena_rudbeckiae	MR26704	2.682694934
Andrena_rudbeckiae	MR26705	2.442764491
Andrena_rudbeckiae	MR26706	2.536735667
Andrena_rudbeckiae	MR26709	2.728278145
Andrena_rudbeckiae	MR26710	2.583826851
Andrena_rugosa	MR10028	2.033043911
Andrena_spiraeana	MR23257	1.800212554
Andrena_subillatus	MR16788	2.516601663
Andrena_wilmattae	MR10045	2.39456762
Andrena_wilmattae	MR10663	2.38387522
Andrena_wilmattae	MR24461	2.653403412
Andrena_wilmattae	MR24486	2.537251212
Andrena_wilmattae	MR24492	2.516875871
Andrena_wilmattae	MR24527	2.499107888
Anthidiellum_notatum	MR14701	1.758428398
Anthidiellum_notatum	MR26101	2.020924268
Anthidiellum_notatum	MR28147	2.087624202
Anthidiellum_notatum	MR28348	2.475989277
Anthidium_manicatum	MR17514	3.284475071
Anthidium_manicatum	MR20207	3.251655977
Anthidium_manicatum	MR20208	3.443127774
Anthidium_manicatum	MR20273	3.639536333
Anthidium_manicatum	MR22640	3.204826057
Anthidium_manicatum	MR27751	3.266317747
Anthidium_manicatum	MR28449	3.312303584
Anthidium_oblongatum	MR10544	2.607149159
Anthidium_oblongatum	MR11476	2.545290609
Anthidium_oblongatum	MR12284	2.681687689
Anthidium_oblongatum	MR12313	2.560951791
Anthidium_oblongatum	MR16186	2.71194524
Anthidium_oblongatum	MR17770	2.383603737
Anthidium_oblongatum	MR22861	2.360403545
Anthidium_oblongatum	MR28444	2.50660994
Anthidium_oblongatum	MR29696	2.722402265
Anthophora_abrupta	MR15759	3.232805129
Anthophora_abrupta	MR16194	3.714155253
Anthophora_abrupta	MR16196	3.845122338
Anthophora_abrupta	MR30282	3.409701165
Anthophora_terminalis	MR11721	2.739312539
Anthophora_terminalis	MR25515	2.729396436
Anthophora_terminalis	MR28767	2.884264902
Augochlorella_persimilis	MR13613	1.089504144
Augochlorella_persimilis	MR16904	1.188514271
Augochlorella_persimilis	MR18396	1.173874982
Augochlorella_persimilis	MR18752	1.237807973
Augochlorella_persimilis	MR20915	1.274846972
Augochlorella_persimilis	MR21849	1.154791483
Augochlorella_persimilis	MR25621	1.269912424
Augochlorella_persimilis	MR27271	1.141832185
Augochlorella_persimilis	MR27658	1.260110092
Augochloropsis_metallica	MR10371	1.510623252
Augochloropsis_metallica	MR11494	1.8418189
Augochloropsis_metallica	MR12802	1.845572311
Augochloropsis_metallica	MR14131	1.675468452
Augochloropsis_metallica	MR17695	1.959598464
Augochloropsis_metallica	MR19307	1.766550398
Augochloropsis_metallica	MR20428	1.704594598
Calliopsis_andreniformis	MR11186	1.331740998
Calliopsis_andreniformis	MR17992	1.36127028
Calliopsis_andreniformis	MR19809	1.529951664
Calliopsis_andreniformis	MR26668	1.544866524
Ceratina_dupla	MR20824	1.176788397
Ceratina_dupla	MR12670	1.249650002
Ceratina_dupla	MR16037	1.373644375
Ceratina_dupla	MR17947	1.485114094
Ceratina_dupla	MR20860	0.892686657
Ceratina_dupla	MR21367	0.871134266
Ceratina_dupla	MR24012	1.325363879
Ceratina_dupla	MR28507	1.370313006
Ceratina_dupla	MR30397	1.236090512
Ceratina_mikmaqi	MR15571	1.488946531
Ceratina_mikmaqi	MR16034	1.523413597
Ceratina_mikmaqi	MR16554	1.667278326
Ceratina_mikmaqi	MR17231	1.233954757
Ceratina_mikmaqi	MR21467	1.388459089
Ceratina_mikmaqi	MR24271	1.352785849
Ceratina_mikmaqi	MR25014	1.425358599
Ceratina_mikmaqi	MR30399	1.507243854
Coelioxys_alternata	MR30424	1.922776958
Coelioxys_obtusiventris	MR17518	2.409511093
Coelioxys_octodentata	MR15864	2.380182442
Coelioxys_sayi	MR25276	2.311971469
Coelioxys_sayi	MR27050	2.181670658
Coelioxys_sayi	MR28391	2.258205625
Coelioxys_sayi	MR29239	2.277934619
Coelioxys_sayi	MR30237	2.188345318
Halictus_ligatus	MR26543	1.945859122
Halictus_ligatus	MR27982	1.612370007
Halictus_ligatus	MR28044	1.475917404
Halictus_ligatus	MR29006	1.611090257
Halictus_ligatus	MR29069	1.614246201
Halictus_parallelus	MR28879	2.213143239
Halictus_parallelus	MR30163	2.536697176
Halictus_rubicundus	MR23699	1.692580721
Halictus_rubicundus	MR23700	1.786891335
Heriades_carinatus	MR11451	1.332974422
Heriades_carinatus	MR11903	1.272417423
Heriades_carinatus	MR22476	1.435068109
Heriades_carinatus	MR22480	1.440210271
Heriades_carinatus	MR22482	1.329406826
Heriades_carinatus	MR23698	1.526018231
Heriades_carinatus	MR24470	1.298329376
Heriades_carinatus	MR27811	1.338512057
Heriades_carinatus	MR28768	1.301314154
Heriades_carinatus	MR28992	1.343088772
Heriades_variolosus	MR12820	1.34684627
Heriades_variolosus	MR12821	1.273205302
Heriades_variolosus	MR12836	1.24782388
Heriades_variolosus	MR13517	1.119275274
Heriades_variolosus	MR21395	1.328768824
Heriades_variolosus	MR23576	1.14918981
Heriades_variolosus	MR24205	1.152372323
Heriades_variolosus	MR24682	1.215351548
Heriades_variolosus	MR25140	1.213195696
Heriades_variolosus	MR29532	1.271148232
Hoplitis_producta	MR10302	1.584021691
Hoplitis_producta	MR15590	1.476392924
Hoplitis_producta	MR26252	1.454162678
Hoplitis_producta	MR27022	1.605230386
Hoplitis_producta	MR30547	1.456195904
Hoplitis_spoliata	MR10458	2.394522657
Hoplitis_spoliata	MR15591	2.147245149
Hoplitis_spoliata	MR24559	1.935083608
Hylaeus_fedorica	MR10743	0.907053101
Hylaeus_leptocephalus	MR12712	1.056676193
Hylaeus_leptocephalus	MR15730	1.052837965
Lasioglossum_abanci	MR12049	1.122655013
Lasioglossum_abanci	MR12757	1.028577901
Lasioglossum_abanci	MR12764	1.144224435
Lasioglossum_abanci	MR29829	1.049655793
Lasioglossum_abanci	MR30201	1.109680727
Lasioglossum_abanci	MR30202	1.176553702
Lasioglossum_admirandum	MR13213	1.143878695
Lasioglossum_admirandum	MR18721	1.470436995
Lasioglossum_admirandum	MR22613	1.160134106
Lasioglossum_admirandum	MR25374	1.056528019
Lasioglossum_admirandum	MR25789	1.381501024
Lasioglossum_anomalum	MR23884	0.930879032
Lasioglossum_anomalum	MR24949	0.965616048
Lasioglossum_anomalum	MR24950	0.960225225
Lasioglossum_anomalum	MR25061	0.940101099
Lasioglossum_anomalum	MR28069	0.903116431
Lasioglossum_anomalum	MR28094	0.995137836
Lasioglossum_atwoodi	MR16584	1.174955803
Lasioglossum_atwoodi	MR17403	0.993673124
Lasioglossum_atwoodi	MR28415	1.154473674
Lasioglossum_atwoodi	MR30524	1.126726913
Lasioglossum_atwoodi	MR30535	1.208569249
Lasioglossum_birkmannii	MR29562	1.123453451
Lasioglossum_bruneri	MR16290	1.441076666
Lasioglossum_bruneri	MR16344	1.382888753
Lasioglossum_bruneri	MR18055	1.362477816
Lasioglossum_bruneri	MR27067	1.480514216
Lasioglossum_bruneri	MR27110	1.633455393
Lasioglossum_callidum	MR15999	1.329589915
Lasioglossum_callidum	MR18754	1.399804478
Lasioglossum_callidum	MR24579	1.190383652
Lasioglossum_callidum	MR26670	1.322270781
Lasioglossum_ceanothi	MR14535	1.113887517
Lasioglossum_coeruleum	MR11684	1.108728664
Lasioglossum_coeruleum	MR19415	1.212656137
Lasioglossum_coriaceum	MR17828	2.033171307
Lasioglossum_coriaceum	MR25312	1.825104829
Lasioglossum_coriaceum	MR26621	1.917567692
Lasioglossum_coriaceum	MR28612	1.894332585
Lasioglossum_cressonii	MR14811	1.36391085
Lasioglossum_cressonii	MR15081	1.41636254
Lasioglossum_cressonii	MR18992	1.134095779
Lasioglossum_cressonii	MR21928	1.196751234
Lasioglossum_ephialtum	MR10751	1.083407875
Lasioglossum_ephialtum	MR24369	1.075949764
Lasioglossum_foxii	MR10507	1.191557466
Lasioglossum_foxii	MR18148	1.266543245
Lasioglossum_foxii	MR24491	1.313309807
Lasioglossum_foxii	MR30321	1.287027417
Lasioglossum_fuscipenne	MR16359	1.729763636
