Species	Individual	Flower	width	depth
Liatris_spicata	1	1	1.701502522	5.282799849
Liatris_spicata	1	2	1.507494899	5.395695789
Liatris_spicata	1	3	1.329525195	6.154110221
Liatris_spicata	1	4	1.41581174	5.700934691
Liatris_spicata	1	5	1.597574028	5.801600624
Liatris_spicata	2	1	1.624883078	5.802039356
Liatris_spicata	2	2	1.399207012	5.775996771
Liatris_spicata	2	3	1.389483025	5.915572617
Liatris_spicata	2	4	1.603755795	5.530058623
Liatris_spicata	2	5	1.470882881	5.676331611
Liatris_spicata	3	1	1.518480923	5.741360411
Liatris_spicata	3	2	1.72440858	5.269655248
Liatris_spicata	3	3	1.550249171	5.698892269
Liatris_spicata	3	4	1.770755826	5.81413243
Liatris_spicata	3	5	1.82162222	5.530530396
Liatris_spicata	4	1	1.351142646	5.371380202
Liatris_spicata	4	2	1.493731712	5.47465707
Liatris_spicata	4	3	1.569020652	6.12443004
Liatris_spicata	4	4	1.65639381	5.473105156
Liatris_spicata	4	5	1.431846594	5.483974003
Liatris_spicata	5	1	1.671346139	5.854910704
Liatris_spicata	5	2	1.660202743	5.672566278
Liatris_spicata	5	3	1.619540625	5.92891785
Liatris_spicata	5	4	1.723195253	5.6957554
Liatris_spicata	5	5	1.686140074	5.375749132
Liatris_spicata	6	1	1.755041506	6.292223059
Liatris_spicata	6	2	1.833724491	4.988760887
Liatris_spicata	6	3	2.088118117	5.379529793
Liatris_spicata	6	4	1.779584975	6.321780613
Liatris_spicata	6	5	1.936635862	5.616463367
Liatris_spicata	7	1	2.24882806	5.329665194
Liatris_spicata	7	2	1.974285782	4.860329799
Liatris_spicata	7	3	2.150926686	5.776265529
Liatris_spicata	7	4	1.88445838	5.247044176
Liatris_spicata	7	5	1.925874655	5.22530512
Lotus_corniculatus 	1	1	2.053041322	1.466101106
Lotus_corniculatus 	1	2	1.878023865	1.503195117
Lotus_corniculatus 	1	3	1.900365156	1.489622343
Lotus_corniculatus 	1	4	1.807604582	1.468413648
Lotus_corniculatus 	2	1	1.979083567	1.375663975
Lotus_corniculatus 	2	2	1.768007276	1.440756473
