"id",id2,"unique_id","genus","species","sex",observedIT_mu,conversion_factor,ITlength_mm,head_width,head_length,head_depth,"tongue_type",cardo_mm,prementum_mm,glossa_mm,glossa_in_prem,tongue_mm,"measured_by","project","old_uniqueID","pixel_update","notes","note_2","X_val"
"1_1825",1,"1825","Agapostemon","sericeus","female",2.05,1,2.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"10_1693",10,"1693","Agapostemon","texanus","female",1.95,1,1.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"10_tongue2014_10",10,"tongue2014_10","Andrena","bradleyi","male",NULL,NULL,1.423836661,2.336727151,2.203881147,NULL,"",NULL,1.592767387,0.360995959,NULL,NULL,"J.Zientek","tongue2014","","","prementum measurement from the picture without the glossa","",""
"100_2683",100,"2683","Apis","mellifera","female",2.95,1,2.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"100_tongue2014_100",100,"tongue2014_100","Andrena","robertsonii","female",NULL,NULL,1.582,2.504,2.099,NULL,"",NULL,1.186223529,0.264764811,NULL,NULL,"J.Zientek","tongue2014","","","glossa extremely rigid▀д▐ot sure if the measurement is great","",""
"1000_1269",1000,"1269","Ceratina","calcarata","unknown",49,3.5,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1001_1268",1001,"1268","Ceratina","calcarata","unknown",38,3.5,1.085714286,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1002_1266",1002,"1266","Ceratina","calcarata","unknown",43,3.5,1.228571429,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1003_1265",1003,"1265","Ceratina","calcarata","unknown",48,3.5,1.371428571,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1004_1259",1004,"1259","Osmia","virga","female",52,2,2.6,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1005_1250",1005,"1250","Bombus","vagans","unknown",46,1.5,3.066666667,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2009",NULL,NULL,"",NULL,NULL
"1006_1241",1006,"1241","Lasioglossum","creberrimum","female",33,3.5,0.942857143,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1007_1239",1007,"1239","Heriades","carinata","female",49,3.5,1.4,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,"",NULL,NULL
"1008_1232",1008,"1232","Osmia","virga","female",53.5,2,2.675,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"1009_1231",1009,"1231","Osmia","virga","female",54,2,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
"101_972",101,"972","Apis","mellifera","female",2.8,1,2.8,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"W_lab",NULL,NULL,NULL,NULL,NULL,NULL
"101_tongue2014_101",101,"tongue2014_101","Megachile","frigida","male",NULL,NULL,3.08,4.036,3.698,NULL,"",NULL,1.869753009,2.481284042,NULL,NULL,"J.Zientek","tongue2014","","","","",""
"1010_1228",1010,"1228","Osmia","virga","female",54,2,2.7,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"SH","Cran2010",NULL,NULL,NULL,NULL,NULL
