site,observer,collection_date,plant_genus,plant_species,individual_plant,inf_number,flower_number,c_width_px,c_depth1_px,c_depth2_px,c_depth3_px,c_width_mm,c_width_mm_calipers,c_depth1_mm,c_depth2_mm,magnification,flower_type,photo_reference,plant_code,,**make sure all measurement photos are saved in jp2 format
RO,,30-Jun,Centaurea,maculosa,,1,1,406.98,1036.7,none,,1.386299149,,3.531319297,none,1,disc,,CEBI2,,**inf number is unique within flower species (i.e. both CEBI2 and LEVU will each have an inf1) 
RO,,30-Jun,Centaurea,maculosa,,1,2,374.5,966.22,none,,1.275662271,,3.291242723,none,1,disc,,CEBI2,,**flower number is unique within infloescence number
RO,,30-Jun,Centaurea,maculosa,,1,3,350.19,948.62,none,,1.192854929,,3.231291706,none,1,disc,,CEBI2,,293.573
RO,,30-Jun,Centaurea,maculosa,,2,1,387.35,822.53,,,1.319433327,,2.801790355,10.45,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,2,2,365.64,830.96,,,1.245482384,,2.83050553,9.36,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,2,3,281.85,678.2,,,0.960067854,,2.31015795,9.08,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,3,1,328.65,746.61,,,1.119483059,,2.543183467,9.36,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,3,2,318.3,939.88,,,1.084227773,,3.201520576,8.23,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,3,3,314.72,755.04,,,1.072033191,,2.571898642,9.35,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,4,1,295.66,711.75,,,1.007108964,,2.424439577,9.71,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,4,2,331.55,754.39,,,1.129361351,,2.569684542,10.37,1,disc,,CEBI2,,
RO,,30-Jun,Centaurea,maculosa,,4,3,368.08,804.25,,,1.253793775,,2.739523049,9.33,1,disc,,CEBI2,,
