plant_code,depth,width,plant_genus,plant_species,genus_species
CHFA_f,0,0,Chamaecrista,fasciculata,Chamaecrista_fasciculata
DACA6,0,0,Daucus,carota,Daucus_carota
GAPA3,0,0,Galium,palustre,Galium_palustre
HYCA7,0,0,Hypericum,canadense,Hypericum_canadense
HYPE,0,0,Hypericum,perforatum,Hypericum_perforatum
LYPU2,0,0,Lysimachia,punctata,Lysimachia_punctata
OEPE,0,0,Oenothera,perennis,Oenothera_perennis
OXST,0,0,Oxalis,stricta,Oxalis_stricta
PHAM4,0,0,Phytolacca,americana,Phytolacca_americana
POPE2,0,0,Polygonum,pensylvanicum,Polygonum_pensylvanicum
PONO3,0,0,Potentilla,norvegica,Potentilla_norvegica
PORE5,0,0,Potentilla,recta,Potentilla_recta
PORE6,0,0,Potentilla,reptans,Potentilla_reptans
RABU,0,0,Ranunculus,bulbosus,Ranunculus_bulbosus
ROMU,0,0,Rosa,multiflora,Rosa_multiflora
SOCA3,0,0,Solanum,carolinense,Solanum_carolinense
TRPE4,0,0,Triodonis,perfoliata,Triodonis_perfoliata
BRJU,0,0,Brassica,juncea,Brassica_juncea
DEPA6,0.615973994,0.758471204,Desmodium,paniculatum,Desmodium_paniculatum
ACMI2_d,0.951242993,0.357220761,Achillea,millefolium,Achillea_millefolium
RULA3_d,1.031430002,0.405520944,Rudbeckia,laciniata,Rudbeckia_laciniata
RHCO,1.035063397,1.752772451,Rhus,copallinum,Rhus_copallinum
COCA5_d,1.081162096,0.158222997,Conyza,canadensis,Conyza_canadensis
EUGR5,1.177447063,0.4164779,Euthamia,graminifolia,Euthamia_graminifolia
PLLA,1.198793259,0.309179205,Plantago,lanceolata,Plantago_lanceolata
EUPE9,1.284859302,0.399219274,Eupatorium,perfoliatum,Eupatorium_perfoliatum
HEAU_d,1.352304197,0.425788475,Helenium,autumnale,Helenium_autumnale
PYMU,1.436212912,0.585430767,Pycnanthemum,muticum,Pycnanthemum_muticum
COTI3_d,1.624297875,0.300776979,Coreopsis,tinctoria,Coreopsis_tinctoria
CENI3,1.629464108,0.501408508,Centaurea,nigrescens,Centaurea_nigrescens
RUHI2_d,1.661596945,0.376226697,Rudbeckia,hirta,Rudbeckia_hirta
VEHA2,1.702699726,0.694319073,Verbena,hastata,Verbena_hastata
ERST3_d,1.733214567,0.446010021,Erigeron,strigosus,Erigeron_strigosus
SYLA6_d,1.865123836,0.571067503,Symphyotrichum,lanceolatum,Symphyotrichum_lanceolatum
ASTU,1.871388036,1.816079817,Asclepias,tuberosa,Asclepias_tuberosa
erigeronspecies,1.87419455,0.45811642,Erigeron,species,Erigeron_species
TRRE3,1.983493032,0.564425203,Trifolium,repens,Trifolium_repens
ERAN_d,2.015174534,0.470222814,Erigeron,annuus,Erigeron_annuus
BIAR_d,2.054173919,0.63953429,Bidens,aristosa,Bidens_aristosa
SOCA6_d,2.132178368,0.601128169,Solidago,canadensis,Solidago_canadensis
solidagospecies,2.132178368,0.601128169,Solidago,species,Solidago_species
SOGI,2.132178368,0.601128169,Solidago,gigantea,Solidago_gigantea
HEDE_d,2.149096363,0.501011106,Helianthus,decapetalus,Helianthus_decapetalus
ASSY,2.218170608,2.206936179,Asclepias,syriaca,Asclepias_syriaca
EUMA9,2.249866302,0.434162315,Eutrochium,maculatum,Eutrochium_maculatum
CIIN_r,2.32250241,0.891693037,Cichorium,intybus,Cichorium_intybus
SYRA5_d,2.378198949,0.805676953,Symphyotrichum,racemosum,Symphyotrichum_racemosum
EUSE2,2.45706842,0.841851045,Eupatorium,serotinum,Eupatorium_serotinum
LEVU_d,2.485271086,0.773537694,Leucanthemum,vulgare,Leucanthemum_vulgare
AGALA,2.71718553,0.865202181,Ageratina,altissima,Ageratina_altissima
CEBI2_d,2.747045611,1.163581299,Centaurea,maculosa,Centaurea_maculosa
APCA,2.842842041,2.138884253,Apocynum,cannabinum,Apocynum_cannabinum
VENO,2.935896693,0.600304978,Vernonia,noveboracensis,Vernonia_noveboracensis
TRCA5,3.099668566,0.716510033,Trifolium,campestre,Trifolium_campestre
LOIN,3.30866031,1.732188619,Lobelia,inflata,Lobelia_inflata
PRVU,3.312163251,1.015224674,Prunella,vulgaris,Prunella_vulgaris
PYTE,3.839930784,1.795237754,Pycnanthemum,tenuifolium,Pycnanthemum_tenuifolium
MEAR4,3.954628737,1.044790298,Mentha,arvensis,Mentha_arvensis
HEHE5_d,4.254387608,0.916529563,Heliopsis,helianthoides,Heliopsis_helianthoides
ECPU_d,4.634850616,1.279756654,Echinacea ,purpurea,Echinacea_purpurea
COLA5_d,4.706586323,1.100749988,Coreopsis,lanceolata,Coreopsis_lanceolata
SYNO2_d,4.916494364,0.883596244,Symphyotrichum,novae-angliae,Symphyotrichum_novae-angliae
LYSA2,5.6616083,2.593200555,Lythrum,salicaria,Lythrum_salicaria
GAPU_d,6.023487628,1.683040464,Gaillardia ,pulchella,Gaillardia_pulchella
PEDI,7.287692308,2.466153846,Penstemon,digitalis,Penstemon_digitalis
CIAR4_d,9.401666667,0.87432011,Cirsium,arvense,Cirsium_arvense
TRPR2,9.813170694,0.846624179,Trifolium,pratense,Trifolium_pratense
CECY2_r,14.1425,3.981880146,Centaurea,cyanus,Centaurea_cyanus
MOFI,15.93033333,2.955392128,Monarda,fistulosa,Monarda_fistulosa
MOPU,15.96133333,1.732448147,Monarda,punctata,Monarda_punctata
CIVU,30.49366667,0.412390331,Cirsium,vulgare,Cirsium_vulgare
