uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem?
NCIG2013_2036,2013_DandRC,2013,1,5/30/13,DR,AM,1,C,L,Bombus,bimaculatus,Bombus_bimaculatus,f,J_Gibbs,,0000-00-00,bee,,TRPR2,Trifolium,pratense,Trifolium,pratense,Trifolium_pratense,no,GP,40.299382,-74.565924,,NULL,,,
NCIG2013_2038,2013_DandRC,2013,1,5/30/13,DR,AM,1,C,R,Bombus,bimaculatus,Bombus_bimaculatus,f,J_Gibbs,,0000-00-00,bee,,TRPR2,Trifolium,pratense,Trifolium,pratense,Trifolium_pratense,no,GP,40.299382,-74.565924,,NULL,,,
NCIG2013_2023,2013_DandRC,2013,1,5/30/13,DR,AM,3,C,R,Apis,mellifera,Apis_mellifera,,J_Gibbs,,0000-00-00,apis,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,JZ,40.299382,-74.565924,,NULL,,,
NCIG2013_2024,2013_DandRC,2013,1,5/30/13,DR,AM,3,C,R,Apis,mellifera,Apis_mellifera,,J_Gibbs,,0000-00-00,apis,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,JZ,40.299382,-74.565924,,1,,,
NCIG2013_2033,2013_DandRC,2013,1,5/30/13,DR,PM,1,C,R,Halictus,ligatus,Halictus_ligatus,f,J_Gibbs,,0000-00-00,bee,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,GP,40.299382,-74.565924,,1,,,
NCIG2013_2034,2013_DandRC,2013,1,5/30/13,DR,PM,1,C,R,Andrena,wilkella,Andrena_wilkella,f,J_Gibbs,,0000-00-00,bee,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,GP,40.299382,-74.565924,,1,,,
NCIG2013_2041,2013_DandRC,2013,1,5/30/13,DR,PM,1,C,L,Halictus,confusus,Halictus_confusus,f,J_Gibbs,,0000-00-00,bee,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,GP,40.299382,-74.565924,,1,,,
NCIG2013_2028,2013_DandRC,2013,1,5/30/13,DR,PM,3,C,R,Bombus,bimaculatus,Bombus_bimaculatus,f,J_Gibbs,,0000-00-00,bee,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,JZ,40.299382,-74.565924,,1,,,
NCIG2013_2035,2013_DandRC,2013,1,5/30/13,DR,PM,3,C,R,Halictus,confusus,Halictus_confusus,f,J_Gibbs,,0000-00-00,bee,,PONO3,Potentilla,norvegica,Potentilla,norvegica,Potentilla_norvegica,no,JZ,40.299382,-74.565924,,NULL,,,
NCIG2013_2043,2013_DandRC,2013,1,5/30/13,DR,PM,4,C,L,Ceratina,strenua,Ceratina_strenua,f,J_Gibbs,,0000-00-00,bee,,TRRE3,Trifolium,repens,Trifolium,repens,Trifolium_repens,no,MR,40.299382,-74.565924,,1,,,
