uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,gs,,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,genus_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,
NCIG2013_2052,2013_WOC,2013,1,6/4/13,WO,PM,2,C,L,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,dan'srubus,Rubus,CHECK,Rubus,sp,Rubus_sp,no,AC,39.990884,-74.693699,,3,,,
NCIG2013_2053,2013_WOT,2013,1,6/4/13,WO,PM,2,T,R,Ceratina,calcarata,Ceratina_calcarata,,f,J_Gibbs,,0000-00-00,bee,,TRDU2,Trifolium,dubium,Trifolium,dubium,Trifolium_dubium,no,AC,39.989904,-74.697815,,NULL,,,
NCIG2013_2054,2013_WOC,2013,1,6/4/13,WO,PM,4,C,R,unkown,unkown,unkown_unkown,,,,,0000-00-00,wasp,Black_midget_wasp_____,ACMI2,Achillea,millefolium,Achillea,millefolium,Achillea_millefolium,no,AC,39.990884,-74.693699,,NULL,,,
NCIG2013_2055,2013_WOC,2013,1,6/4/13,WO,AM,1,C,R,Ceratina,strenua,Ceratina_strenua,,f,J_Gibbs,,0000-00-00,bee,,dan'srubus,Rubus,CHECK,Rubus,sp,Rubus_sp,no,MR,39.990884,-74.693699,,3,,,
NCIG2013_2056,2013_WOC,2013,1,6/4/13,WO,AM,1,C,R,Augochlorella,aurata,Augochlorella_aurata,,f,J_Gibbs,,0000-00-00,bee,,ACMI2,Achillea,millefolium,Achillea,millefolium,Achillea_millefolium,no,MR,39.990884,-74.693699,,NULL,,,
NCIG2013_2057,2013_WOT,2013,1,6/4/13,WO,AM,1,T,R,unkown,unkown,unkown_unkown,,,,,0000-00-00,fly,Tiny_yellow_grey_striped_butt_fly_,dandylike,CHECK,CHECK,CHECK,CHECK,CHECK_CHECK,no,MR,39.989904,-74.697815,,3,,,
NCIG2013_2058,2013_WOC,2013,1,6/4/13,WO,AM,4,C,R,Ceratina,dupla,Ceratina_dupla,,f,J_Gibbs,,0000-00-00,bee,,rubussp.,CHECK,CHECK,Rubus,sp,Rubus_sp,no,SM,39.990884,-74.693699,,3,,,
NCIG2013_2059,2013_WOC,2013,1,6/4/13,WO,AM,4,C,R,Ceratina,mikmaqi,Ceratina_mikmaqi,,f,J_Gibbs,,0000-00-00,bee,,rubussp.,CHECK,CHECK,Rubus,sp,Rubus_sp,no,SM,39.990884,-74.693699,,3,,,
NCIG2013_2060,2013_WOC,2013,1,6/4/13,WO,AM,4,C,L,Ceratina,dupla,Ceratina_dupla,,f,J_Gibbs,,0000-00-00,bee,,rubussp.,CHECK,CHECK,Rubus,sp,Rubus_sp,no,SM,39.990884,-74.693699,,3,,,
NCIG2013_2061,2013_WOT,2013,1,6/4/13,WO,AM,1,T,L,Agapostemon,splendens,Agapostemon_splendens,,f,J_Gibbs,,0000-00-00,bee,,dandylike,CHECK,CHECK,dandylike,CHECK,dandylike_CHECK,unknown,MR,39.989904,-74.697815,,3,,,
