,sc,year,site,treatment,transect,round,uniqueID,genus,species,gs,plant_genus,plant_species,genus_species
8827,2014_SHC,2014,SH,C,2,1,XCIG2014_1094,Lasioglossum,hitchensi,Lasioglossum_hitchensi,Cirsium,arvense,Cirsium_arvense
8828,2014_SHC,2014,SH,C,1,1,XCIG2014_1096,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8829,2014_SHC,2014,SH,C,1,1,XCIG2014_1097,Andrena,,Andrena_,Apocynum,cannabinum,Apocynum_cannabinum
8830,2014_SHC,2014,SH,C,1,1,XCIG2014_1098,Hylaeus,schwarzii,Hylaeus_schwarzii,Apocynum,cannabinum,Apocynum_cannabinum
8832,2014_SHC,2014,SH,C,2,1,XCIG2014_1100,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8833,2014_SHC,2014,SH,C,2,1,XCIG2014_1101,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8834,2014_SHC,2014,SH,C,2,1,XCIG2014_1102,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8835,2014_SHC,2014,SH,C,2,1,XCIG2014_1103,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8836,2014_SHC,2014,SH,C,2,1,XCIG2014_1104,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8837,2014_SHC,2014,SH,C,2,1,XCIG2014_1105,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8838,2014_SHC,2014,SH,C,2,1,XCIG2014_1106,Bombus,impatiens,Bombus_impatiens,Apocynum,cannabinum,Apocynum_cannabinum
8839,2014_SHC,2014,SH,C,2,1,XCIG2014_1107,Bombus,griseocollis,Bombus_griseocollis,Apocynum,cannabinum,Apocynum_cannabinum
8840,2014_SHC,2014,SH,C,1,1,XCIG2014_1108,Hylaeus,ornatus,Hylaeus_ornatus,Plantago,lanceolata,Plantago_lanceolata
8841,2014_SHC,2014,SH,C,1,1,XCIG2014_1109,Hylaeus,schwarzii,Hylaeus_schwarzii,Plantago,lanceolata,Plantago_lanceolata
8842,2014_SHC,2014,SH,C,1,1,XCIG2014_1110,Hylaeus,ornatus,Hylaeus_ornatus,Plantago,lanceolata,Plantago_lanceolata
8843,2014_SHC,2014,SH,C,1,1,XCIG2014_1111,Andrena,cressonii,Andrena_cressonii,Apocynum,cannabinum,Apocynum_cannabinum
8844,2014_SHC,2014,SH,C,1,1,XCIG2014_1112,Hylaeus,schwarzii,Hylaeus_schwarzii,Apocynum,cannabinum,Apocynum_cannabinum
8845,2014_SHC,2014,SH,C,1,1,XCIG2014_1113,Hylaeus,schwarzii,Hylaeus_schwarzii,Apocynum,cannabinum,Apocynum_cannabinum
8846,2014_SHT,2014,SH,T,2,1,XCIG2014_1114,Bombus,impatiens,Bombus_impatiens,Cirsium,arvense,Cirsium_arvense
8847,2014_SHT,2014,SH,T,2,1,XCIG2014_1115,Lasioglossum,hitchensi,Lasioglossum_hitchensi,Cirsium,arvense,Cirsium_arvense
8848,2014_SHT,2014,SH,T,2,1,XCIG2014_1116,Lasioglossum,hitchensi,Lasioglossum_hitchensi,Cirsium,arvense,Cirsium_arvense
8849,2014_SHT,2014,SH,T,2,1,XCIG2014_1117,Lasioglossum,hitchensi,Lasioglossum_hitchensi,Cirsium,arvense,Cirsium_arvense
8850,2014_SHT,2014,SH,T,2,1,XCIG2014_1118,Halictus,ligatus,Halictus_ligatus,Cirsium,arvense,Cirsium_arvense
8851,2014_SHT,2014,SH,T,2,1,XCIG2014_1119,Halictus,ligatus,Halictus_ligatus,Cirsium,arvense,Cirsium_arvense
8852,2014_SHT,2014,SH,T,2,1,XCIG2014_1120,Halictus,ligatus,Halictus_ligatus,Cirsium,arvense,Cirsium_arvense
8853,2014_SHT,2014,SH,T,2,1,XCIG2014_1121,Andrena,forbesii,Andrena_forbesii,Cirsium,arvense,Cirsium_arvense
