col,ind,inf,flr,depth 1(mm),depth 2(mm),depth3,depth 4*,depth 2+3,abs(diff),width (mm)
JZ,1,1,1,2.63,1.17,1.18,,2.35,0.28,0.78
JZ,1,1,2,2.4,1.1,1.1,,2.2,0.2,0.6
JZ,1,1,3,2.4,1.25,1.1,,2.35,0.05,0.65
JZ,1,1,4,2.4,0.7,1.6,0.7,2.3,0.1,0.6
JZ,1,1,5,3,1.3,1.5,,2.8,0.2,0.7
ES,1,2,1,2.3,1.16,1.22,,2.38,0.08,0.71
ES,1,2,2,2.98,1.05,1.58,,2.63,0.35,0.7
ES,1,2,3,2.74,1.38,1.1,,2.48,0.26,0.77
ES,1,2,4,2.68,1.09,1.3,,2.39,0.29,0.69
ES,1,2,5,2.53,1.2,1.44,,2.64,0.11,0.77
ES,1,2,6,2.6,1.1,1.14,,2.24,0.36,0.75
JZ,3,1,1,2.6,1.4,0.95,,2.35,0.25,0.6
JZ,3,1,2,2.9,1.35,1.3,,2.65,0.25,0.9
JZ,3,1,3,2.3,1.1,1.3,,2.4,0.1,0.5
JZ,3,1,4,2.5,1,1.4,,2.4,0.1,0.6
JZ,3,1,5,2.5,1.1,1.3,,2.4,0.1,0.5
JZ,3,2,1,3,1.15,1.4,,2.55,0.45,0.6
JZ,3,2,2,2.5,1.1,1.2,,2.3,0.2,0.5
JZ,3,2,3,2.6,1.05,1.1,,2.15,0.45,0.5
JZ,3,2,4,2.4,1.2,1.3,,2.5,0.1,0.6
JZ,3,2,5,2.6,1.2,1.3,,2.5,0.1,0.5
ES,2,1,1,3.10,1.45,1.47,,2.921,0.1778,0.86
ES,2,1,2,2.49,1.40,1.17,,2.5654,0.0762,0.69
ES,2,1,3,3.02,1.32,1.60,,2.921,0.1016,0.71
ES,2,1,4,2.64,1.27,1.63,,2.8956,0.254,0.58
ES,2,1,5,2.64,1.30,1.50,,2.794,0.1524,0.76
ES,2,2,1,2.77,1.37,1.47,,2.8448,0.0762,0.86
ES,2,2,2,2.84,1.45,1.60,,3.048,0.2032,0.91
ES,2,2,3,3.10,1.37,1.47,,2.8448,0.254,0.84
ES,2,2,4,2.82,1.37,1.78,,3.1496,0.3302,0.84
ES,2,2,5,2.77,1.55,1.98,,3.5306,0.762,0.91
