year,ent_by,site,date,round,obs,tran,t_c,quadrat,plant_code,plant_genus,plant_species,count,count_unit,notes
2015,RT,RO,10-Jun,1,ES,1,C,1,HICA10,Hieracium,caespitosum,34,inf,
2015,RT,RO,10-Jun,1,ES,1,C,1,TRPR2,Trifolium,pratense,1,inf,
2015,RT,RO,10-Jun,1,ES,1,C,1,GAMO,Galium,mollugo,50,flr,
2015,RT,RO,10-Jun,1,ES,1,C,1,PLLA,Plantago ,lanceolata,1,inf,
2015,RT,RO,10-Jun,1,ES,1,C,2,HICA10,Hieracium,caespitosum,6,inf,
2015,RT,RO,10-Jun,1,ES,1,C,2,TRPR2,Trifolium,pratense,4,inf,
2015,RT,RO,10-Jun,1,ES,1,C,2,GAMO,Galium,mollugo,450,flr,
2015,RT,RO,10-Jun,1,ES,1,C,2,TRRE3,Trifolium,repens,2,inf,
2015,RT,RO,10-Jun,1,ES,1,C,3,HICA10,Hieracium,caespitosum,4,inf,
2015,RT,RO,10-Jun,1,ES,1,C,3,TRPR2,Trifolium,pratense,1,inf,
2015,RT,RO,10-Jun,1,ES,1,C,3,TRRE3,Trifolium,repens,29,inf,
2015,RT,RO,10-Jun,1,ES,1,C,3,VESE,Veronica,serpyllifolia,11,flr,
2015,RT,RO,10-Jun,1,ES,1,C,4,TRPR2,Trifolium,repens,2,inf,
2015,RT,RO,10-Jun,1,ES,1,C,4,VESE,Veronica,serpyllifolia,31,flr,
2015,RT,RO,10-Jun,1,ES,1,C,5,TRRE3,Trifolium,repens,1,inf,
2015,RT,RO,10-Jun,1,ES,1,C,5,CEFO2,Cerastium,fontanum ,1,flr,
2015,RT,RO,10-Jun,1,ES,1,C,6,HICA10,Hieracium,caespitosum,21,inf,
2015,RT,RO,10-Jun,1,ES,1,C,6,GAMO,Galium,mollugo,560,flr,
2015,RT,RO,10-Jun,1,ES,1,C,6,ERST3,Erigeron,strigosus,4,inf,
2015,RT,RO,10-Jun,1,ES,1,C,7,none,none,none,0,,
2015,RT,RO,10-Jun,1,ES,1,C,8,GAMO,Galium,mollugo,490,flr,
2015,RT,RO,10-Jun,1,ES,1,C,9,HICA10,Hieracium,caespitosum,48,inf,
2015,RT,RO,10-Jun,1,ES,1,C,9,TRPR2,Trifolium,pratense,9,inf,
2015,RT,RO,10-Jun,1,ES,1,C,9,TRRE3,Trifolium,repens,1,inf,
2015,RT,RO,10-Jun,1,ES,1,C,10,none,none,none,0,,
2015,RT,RO,10-Jun,1,ES,2,C,1,TRPR2,Trifolium,pratense,5,inf,
2015,RT,RO,10-Jun,1,ES,2,C,1,GAMO,Galium,mollugo,270,flr,
2015,RT,RO,10-Jun,1,ES,2,C,1,TRRE3,Trifolium,repens,3,flr,
2015,RT,RO,10-Jun,1,ES,2,C,1,VESE,Veronica,serpyllifolia,2,flr,
2015,RT,RO,10-Jun,1,ES,2,C,2,TRPR2,Trifolium,pratense,2,inf,
2015,RT,RO,10-Jun,1,ES,2,C,2,PLLA,Plantago ,lanceolata,1,inf,
2015,RT,RO,10-Jun,1,ES,2,C,2,VESE,Veronica,serpyllifolia,2,flr,
2015,RT,RO,10-Jun,1,ES,2,C,3,TRPR2,Trifolium,pratense,2,inf,
2015,RT,RO,10-Jun,1,ES,2,C,3,PLLA,Plantago ,lanceolata,3,inf,
2015,RT,RO,10-Jun,1,ES,2,C,3,TRRE3,Trifolium,repens,2,inf,
2015,RT,RO,10-Jun,1,ES,2,C,3,CEFO2,Cerastium,fontanum ,1,flr,
2015,RT,RO,10-Jun,1,ES,2,C,3,RUAC3,Rumex,acetosella,14,inf,
2015,RT,RO,10-Jun,1,ES,2,C,4,TRPE4,Triodanis,perfoliata,2,flr,
2015,RT,RO,10-Jun,1,ES,2,C,4,OXST,Oxala,stricta,3,flr,
2015,RT,RO,10-Jun,1,ES,2,C,5,VESE,Veronica,serpyllifolia,1,flr,
2015,RT,RO,10-Jun,1,ES,2,C,5,CEFO2,Cerastium,fontanum ,1,flr,
2015,RT,RO,10-Jun,1,ES,2,C,6,HICA10,Hieracium,caespitosum,3,inf,
2015,RT,RO,10-Jun,1,ES,2,C,6,PLLA,Plantago ,lanceolata,10,inf,
2015,RT,RO,10-Jun,1,ES,2,C,7,TRPR2,Trifolium,pratense,2,inf,
2015,RT,RO,10-Jun,1,ES,2,C,7,GAMO,Galium,mollugo,430,flr,
2015,RT,RO,10-Jun,1,ES,2,C,8,none,none,none,0,,
2015,RT,RO,10-Jun,1,ES,2,C,9,HICA10,Hieracium,caespitosum,29,inf,
2015,RT,RO,10-Jun,1,ES,2,C,9,GAMO,Galium,mollugo,380,flr,
2015,RT,RO,10-Jun,1,ES,2,C,10,HICA10,Hieracium,caespitosum,15,inf,
2015,RT,RO,10-Jun,1,ES,2,C,10,PLLA,Plantago ,lanceolata,1,inf,
2015,RT,RO,10-Jun,1,ES,2,C,10,TRRE3,Trifolium,repens,1,inf,
2015,RT,RO,10-Jun,1,ES,2,C,10,VESE,Veronica,serpyllifolia,14,flr,
2015,RT,RO,10-Jun,1,ES,2,C,10,CEFO2,Cerastium,fontanum ,3,flr,
2015,RT,RO,10-Jun,1,ES,2,T,1,DIBA,Dianthus,barbatus,17,flr,
2015,RT,RO,10-Jun,1,ES,2,T,1,LEVU,Leucanthemum ,vulgare,36,inf,
2015,RT,RO,10-Jun,1,ES,2,T,1,PLLA,Plantago ,lanceolata,43,inf,
2015,RT,RO,10-Jun,1,ES,2,T,1,CEFO2,Cerastium,fontanum ,12,flr,
2015,RT,RO,10-Jun,1,ES,2,T,1,VEAR,Veronica,arvensis,25,flr,
2015,RT,RO,10-Jun,1,ES,2,T,1,TRRE3,Trifolium,repens,1,inf,
2015,RT,RO,10-Jun,1,ES,2,T,2,LEVU,Leucanthemum ,vulgare,121,inf,
2015,RT,RO,10-Jun,1,ES,2,T,2,PLLA,Plantago ,lanceolata,41,inf,
2015,RT,RO,10-Jun,1,ES,2,T,2,CEFO2,Cerastium,fontanum ,1,flr,
2015,RT,RO,10-Jun,1,ES,2,T,2,TRRE3,Trifolium,repens,1,inf,
2015,RT,RO,10-Jun,1,ES,2,T,3,DIBA,Dianthus,barbatus,37,flr,
2015,RT,RO,10-Jun,1,ES,2,T,3,LEVU,Leucanthemum ,vulgare,52,inf,
2015,RT,RO,10-Jun,1,ES,2,T,3,PLLA,Plantago ,lanceolata,14,inf,
2015,RT,RO,10-Jun,1,ES,2,T,3,CEFO2,Cerastium,fontanum ,7,flr,
