"","gs","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code","plant_genus_2013","plant_species_2013","plant_genus","plant_species","genus_species","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","meanIT","meantongue"
"1","Bombus_griseocollis","NAT.CIG2012_0271","2012_BWT",2012,2,"7/2/12","BW","PM",1,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","Rudbeckia_hirta","yes","DPC",39.536073,-74.932563,"",NA,"","","",4.992607843,9.971809194
"2","Bombus_griseocollis","NAT.CIG2012_0172","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"3","Bombus_griseocollis","NAT.CIG2012_0205","2012_ABC",2012,1,"6/19/12","AB","PM",1,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","GKN",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"4","Bombus_griseocollis","NAT.CIG2012_0151","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"5","Bombus_griseocollis","NAT.CIG2012_0184","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"6","Bombus_griseocollis","NAT.CIG2012_0269","2012_BWT",2012,2,"7/2/12","BW","AM",4,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","Rudbeckia_hirta","yes","JWB",39.536073,-74.932563,"",NA,"","","",4.992607843,9.971809194
"7","Bombus_griseocollis","NAT.CIG2012_0173","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"8","Bombus_griseocollis","NAT.CIG2012_0187","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"9","Bombus_griseocollis","NAT.CIG2012_0247","2012_ABT",2012,2,"7/9/12","AB","PM",4,"T","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"10","Bombus_griseocollis","NAT.CIG2012_0174","2012_ABC",2012,1,"6/19/12","AB","PM",2,"C","R","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"11","Bombus_griseocollis","NAT.CIG2012_0218","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","Monarda_fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
"12","Bombus_griseocollis","NAT.CIG2012_0161","2012_ABC",2012,1,"6/19/12","AB","AM",2,"C","L","Bombus","griseocollis","","m","J.Ascher","","0000-00-00","bee",NA,"ASSY","Asclepias","syriaca","Asclepias","syriaca","Asclepias_syriaca","no","DPC",39.772882,-74.772184,"",NA,"","","",4.992607843,9.971809194
"13","Bombus_griseocollis","NAT.CIG2012_0320","2012_ABT",2012,1,"6/19/12","AB","AM",4,"T","L","Bombus","griseocollis","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","Rudbeckia_hirta","yes","BGJ",39.780504,-74.767308,"",NA,"","","",4.992607843,9.971809194
