"","gs","X","sc","year","site","treatment","transect","round","uniqueID","genus","species","plant_genus","plant_species","genus_species","meanIT","meantongue"
"1","Lasioglossum_hitchensi",10129,"2014_MEC",2014,"ME","C","2",2,"XCIG2014_2500","Lasioglossum","hitchensi","Apocynum","cannabinum","Apocynum_cannabinum",0.969757096,1.339909709
"2","Lasioglossum_hitchensi",10113,"2014_MEC",2014,"ME","C","2",2,"XCIG2014_2484","Lasioglossum","hitchensi","Apocynum","cannabinum","Apocynum_cannabinum",0.969757096,1.339909709
"3","Lasioglossum_hitchensi",11053,"2014_DRC",2014,"DR","C","1",4,"XCIG2014_3448","Lasioglossum","hitchensi","Lythrum","salicaria","Lythrum_salicaria",0.969757096,1.339909709
"4","Lasioglossum_hitchensi",10181,"2014_MET",2014,"ME","T","1",2,"XCIG2014_2552","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"5","Lasioglossum_hitchensi",10488,"2014_SHC",2014,"SH","C","1",3,"XCIG2014_2871","Lasioglossum","hitchensi","Conyza","canadensis","Conyza_canadensis",0.969757096,1.339909709
"6","Lasioglossum_hitchensi",8848,"2014_SHT",2014,"SH","T","2",1,"XCIG2014_1116","Lasioglossum","hitchensi","Cirsium","arvense","Cirsium_arvense",0.969757096,1.339909709
"7","Lasioglossum_hitchensi",10475,"2014_URC",2014,"UR","C","1",3,"XCIG2014_2856","Lasioglossum","hitchensi","Mentha","arvensis","Mentha_arvensis",0.969757096,1.339909709
"8","Lasioglossum_hitchensi",8847,"2014_SHT",2014,"SH","T","2",1,"XCIG2014_1115","Lasioglossum","hitchensi","Cirsium","arvense","Cirsium_arvense",0.969757096,1.339909709
"9","Lasioglossum_hitchensi",10798,"2014_MET",2014,"ME","T","2",3,"XCIG2014_3188","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"10","Lasioglossum_hitchensi",8849,"2014_SHT",2014,"SH","T","2",1,"XCIG2014_1117","Lasioglossum","hitchensi","Cirsium","arvense","Cirsium_arvense",0.969757096,1.339909709
"11","Lasioglossum_hitchensi",10773,"2014_MEC",2014,"ME","C","2",3,"XCIG2014_3163","Lasioglossum","hitchensi","Lythrum","salicaria","Lythrum_salicaria",0.969757096,1.339909709
"12","Lasioglossum_hitchensi",10058,"2014_MET",2014,"ME","T","2",2,"XCIG2014_2426","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"13","Lasioglossum_hitchensi",8827,"2014_SHC",2014,"SH","C","2",1,"XCIG2014_1094","Lasioglossum","hitchensi","Cirsium","arvense","Cirsium_arvense",0.969757096,1.339909709
"14","Lasioglossum_hitchensi",10133,"2014_MET",2014,"ME","T","2",2,"XCIG2014_2504","Lasioglossum","hitchensi","Chamaecrista_flower","fasciculata","Chamaecrista_flower_fasciculata",0.969757096,1.339909709
"15","Lasioglossum_hitchensi",10737,"2014_MET",2014,"ME","T","1",3,"XCIG2014_3126","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"16","Lasioglossum_hitchensi",10794,"2014_MET",2014,"ME","T","2",3,"XCIG2014_3184","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"17","Lasioglossum_hitchensi",10094,"2014_MEC",2014,"ME","C","2",2,"XCIG2014_2464","Lasioglossum","hitchensi","Apocynum","cannabinum","Apocynum_cannabinum",0.969757096,1.339909709
"18","Lasioglossum_hitchensi",10175,"2014_MET",2014,"ME","T","1",2,"XCIG2014_2546","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"19","Lasioglossum_hitchensi",10785,"2014_MET",2014,"ME","T","2",3,"XCIG2014_3175","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"20","Lasioglossum_hitchensi",10784,"2014_MET",2014,"ME","T","2",3,"XCIG2014_3174","Lasioglossum","hitchensi","Chamaecrista_nectar","fasciculata","Chamaecrista_nectar_fasciculata",0.969757096,1.339909709
"21","Lasioglossum_hitchensi",10005,"2014_FHT",2014,"FH","T","2",2,"XCIG2014_2364","Lasioglossum","hitchensi","Plantago","lanceolata","Plantago_lanceolata",0.969757096,1.339909709
"22","Lasioglossum_hitchensi",10125,"2014_MEC",2014,"ME","C","2",2,"XCIG2014_2496","Lasioglossum","hitchensi","Apocynum","cannabinum","Apocynum_cannabinum",0.969757096,1.339909709
"23","Lasioglossum_hitchensi",10139,"2014_MET",2014,"ME","T","2",2,"XCIG2014_2510","Lasioglossum","hitchensi","Chamaecrista_flower","fasciculata","Chamaecrista_flower_fasciculata",0.969757096,1.339909709
