"","genus_species","gs","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"1","Rudbeckia_hirta","Agapostemon_virescens","NAT.CIG2012_0014","2012_MAT",2012,1,"6/14/12","MA","AM",4,"T","L","Agapostemon","virescens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.263113,-74.719499,"",NA,"","","",2.085285714,2.794332176,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"2","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0988","2012_MAT",2012,1,"6/14/12","MA","AM",4,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.263113,-74.719499,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"3","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_0911","2012_BWT",2012,3,"8/7/12","BW","AM",2,"T","R","Halictus","ligatus_poeyi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.536073,-74.932563,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"4","Rudbeckia_hirta","","NAT.CIG2012_1427","2012_ABT",2012,2,"7/9/12","AB","PM",4,"T","L","","","","","J.Ascher","","0000-00-00","non-bee",NA,"RUHI","0","0","Rudbeckia","hirta","no","DPC",39.780504,-74.767308,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"5","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0700","2012_DET",2012,2,"7/3/12","DF","AM",2,"T","L","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.9198,-74.790006,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"6","Rudbeckia_hirta","Megachile_mendica","NAT.CIG2012_1258","2012_ABT",2012,2,"7/9/12","AB","PM",2,"T","L","Megachile","mendica","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.780504,-74.767308,"",NA,"","","",2.838424242,5.090914714,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"7","Rudbeckia_hirta","Halictus_ligatus_poeyi","NAT.CIG2012_1042","2012_ALT",2012,4,"8/29/12","AL","AM",3,"T","L","Halictus","ligatus_poeyi","","m","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",40.926863,-74.813052,"",NA,"","","",1.700098312,2.296858078,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"8","Rudbeckia_hirta","","NAT.CIG2012_1407","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","L","","","","","J.Ascher","","0000-00-00","non-bee",NA,"RUHI","0","0","Rudbeckia","hirta","no","DPC",39.780504,-74.767308,"",NA,"","","",NA,NA,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"9","Rudbeckia_hirta","Ceratina_calcarata_dupla_mikmaqi","NAT.CIG2012_0698","2012_DET",2012,2,"7/3/12","DF","AM",1,"T","L","Ceratina","calcarata_dupla_mikmaqi","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","BGJ",39.9198,-74.790006,"",NA,"","","",1.433914286,3.010522431,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
"10","Rudbeckia_hirta","Agapostemon_virescens","NAT.CIG2012_0012","2012_MAT",2012,1,"6/14/12","MA","AM",4,"T","R","Agapostemon","virescens","","f","J.Ascher","","0000-00-00","bee",NA,"RUHI2","Rudbeckia","hirta","Rudbeckia","hirta","yes","DPC",39.263113,-74.719499,"",NA,"","","",2.085285714,2.794332176,"RUHI2_d",1.661596945,0.376226697,"Rudbeckia","hirta"
