genus_species,gs,uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code.x,plant_genus_2013,plant_species_2013,plant_genus.x,plant_species.x,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem.,meanIT,meantongue,plant_code.y,depth,width,plant_genus.y,plant_species.y
Anthemis_cotula,Ceratina_calcarata,NAT.CIG2012_0001,2012_DEC,2012,1,6/8/12,DF,PM,1,C,L,Ceratina,calcarata,,,J.Ascher,,0000-00-00,bee,NA,ANCO2,Anthemis,cotula,Anthemis,cotula,no,GKN,39.919101,-74.790498,,NA,,,,1.261979592,2.663114517,NA,NA,NA,NA,NA
Anthemis_cotula,Halictus_parallelus,NAT.CIG2012_1053,2012_DEC,2012,2,7/3/12,DF,PM,3,C,L,Halictus,parallelus,,f,J.Ascher,,0000-00-00,bee,NA,ANCO2,Anthemis,cotula,Anthemis,cotula,no,GKN,39.919101,-74.790498,,NA,,,,2.319555556,3.095050034,NA,NA,NA,NA,NA
Anthemis_cotula,Halictus_ligatus_poeyi,NAT.CIG2012_0930,2012_DEC,2012,2,7/3/12,DF,PM,1,C,R,Halictus,ligatus_poeyi,,f,J.Ascher,,0000-00-00,bee,NA,ANCO2,Anthemis,cotula,Anthemis,cotula,no,BGJ,39.919101,-74.790498,,NA,,,,1.700098312,2.296858078,NA,NA,NA,NA,NA
Anthemis_cotula,Halictus_confusus,NAT.CIG2012_0856,2012_DEC,2012,2,7/3/12,DF,PM,1,C,R,Halictus,confusus,,m,J.Ascher,,0000-00-00,bee,NA,ANCO2,Anthemis,cotula,Anthemis,cotula,no,BGJ,39.919101,-74.790498,,NA,,,,1.395346663,1.900088895,NA,NA,NA,NA,NA
Anthemis_cotula,Heriades_leavitti,NAT.CIG2012_1075,2012_DEC,2012,1,6/8/12,DF,AM,1,C,R,Heriades,leavitti,,,J.Ascher,,0000-00-00,bee,NA,ANCO2,Anthemis,cotula,Anthemis,cotula,no,GKN,39.919101,-74.790498,,NA,,,,1.704,3.119266014,NA,NA,NA,NA,NA
Anthemis_cotula,Heriades_carinata,NAT.CIG2012_1074,2012_DEC,2012,1,6/8/12,DF,AM,4,C,L,Heriades,carinata,,f,J.Ascher,,0000-00-00,bee,NA,ANCO2,Anthemis,cotula,Anthemis,cotula,no,DPC,39.919101,-74.790498,,NA,,,,1.479,2.722770607,NA,NA,NA,NA,NA
Bidens_coronata,Bombus_griseocollis,NAT.CIG2012_0569,2012_MAT,2012,1,6/14/12,MA,PM,2,T,L,Bombus,griseocollis,,m,J.Ascher,,0000-00-00,bee,NA,BICO,Bidens,coronata,Bidens,coronata,yes,JWB,39.263113,-74.719499,,NA,,,,4.992607843,9.971809194,NA,NA,NA,NA,NA
Blephilia_ciliata,Xylocopa_virginica,NAT.CIG2012_1366,2012_ALC,2012,4,8/29/12,AL,PM,2,C,R,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,BLCI,Blephilia,ciliata,Blephilia,ciliata,no,JWB,40.92378,-74.813615,,1,,,,6.082,12.05213985,NA,NA,NA,NA,NA
Blephilia_ciliata,Xylocopa_virginica,NAT.CIG2012_1365,2012_ALC,2012,4,8/29/12,AL,AM,2,C,L,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,BLCI,Blephilia,ciliata,Blephilia,ciliata,no,JWB,40.92378,-74.813615,,1,,,,6.082,12.05213985,NA,NA,NA,NA,NA
Blephilia_ciliata,Xylocopa_virginica,NAT.CIG2012_1361,2012_ALC,2012,4,8/29/12,AL,AM,1,C,L,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,BLCI,Blephilia ,ciliata,Blephilia,ciliata,no,BGJ,40.92378,-74.813615,,1,Little purple mint,,,6.082,12.05213985,NA,NA,NA,NA,NA
Brassica_juncea,Agapostemon_virescens,NAT.CIG2012_0004,2012_ALT,2012,1,6/13/12,AL,PM,3,T,L,Agapostemon,virescens,,f,J.Ascher,,0000-00-00,bee,NA,BRJU,Brassica,juncea,Brassica,juncea,no,BGJ,40.926863,-74.813052,,1,,,,2.085285714,2.794332176,NA,NA,NA,NA,NA
Consolida_ajacis,Xylocopa_virginica,NAT.CIG2012_1368,2012_BWT,2012,1,6/15/12,BW,PM,2,T,L,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,COAJ,Consolida,ajacis,Consolida,ajacis,yes,BGJ,39.536073,-74.932563,,1,,,,6.082,12.05213985,NA,NA,NA,NA,NA
Erodium_cicutarium,Lasioglossum_pilosum,NAT.CIG2012_1203,2012_DEC,2012,3,8/2/12,DF,AM,2,C,R,Lasioglossum,pilosum,,f,J.Gibbs,,0000-00-00,bee,NA,ERCI6,Erodium,cicutarium,Erodium,cicutarium,no,GKN,39.919101,-74.790498,,1,Pink flower,,,1.222478261,1.673518762,NA,NA,NA,NA,NA
Erodium_cicutarium,Lasioglossum_tegulare,NAT.CIG2012_1152,2012_DEC,2012,4,8/31/12,DF,AM,3,C,R,Lasioglossum,tegulare,,f,J.Gibbs,,0000-00-00,bee,NA,ERCI6,Erodium,cicutarium,Erodium,cicutarium,no,BGJ,39.919101,-74.790498,,1,,,,0.926111111,1.281963492,NA,NA,NA,NA,NA
Eupatorium_hyssopifolium,Halictus_ligatus_poeyi,NAT.CIG2012_1040,2012_ABT,2012,3,8/9/12,AB,PM,3,T,L,Halictus,ligatus_poeyi,,m,J.Ascher,,0000-00-00,bee,NA,EUHY,Eupatorium,hyssopifolium,Eupatorium,hyssopifolium,yes,BGJ,39.780504,-74.767308,,1,,,,1.700098312,2.296858078,NA,NA,NA,NA,NA
Eupatorium_hyssopifolium,Megachile_inimica,NAT.CIG2012_1225,2012_MAC,2012,4,8/22/12,MA,PM,1,C,L,Megachile,inimica,sayi,f,J.Ascher,,0000-00-00,bee,NA,EUHY,Eupatorium,hyssopifolium,Eupatorium,hyssopifolium,no,DPC,39.264481,-74.719008,,1,,,,2.943666667,5.271991379,NA,NA,NA,NA,NA
Eupatorium_hyssopifolium,Xylocopa_virginica,NAT.CIG2012_1359,2012_ABC,2012,3,8/9/12,AB,AM,1,C,R,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,EUHY,Eupatorium,hyssopifolium,Eupatorium,hyssopifolium,no,GKN,39.772882,-74.772184,,1,,,,6.082,12.05213985,NA,NA,NA,NA,NA
Eupatorium_rotundifolium,Xylocopa_virginica,NAT.CIG2012_1358,2012_ABT,2012,4,8/30/12,AB,PM,2,T,L,Xylocopa,virginica,,f,J.Ascher,,0000-00-00,bee,NA,EURO4,Eupatorium,rotundifolium,Eupatorium,rotundifolium,yes,JWB,39.780504,-74.767308,,1,,,,6.082,12.05213985,NA,NA,NA,NA,NA
