"","sc","year","site","treatment","transect","round","uniqueID","genus","species","gs","plant_genus","plant_species"
"2","2011_HPT",2011,"HP","T","1","1","NAT.CIG2011_100","Andrena","brevipalpis","Andrena_brevipalpis","Pastinaca","sativa"
"66","2011_CRT",2011,"CR","T","1","2","NAT.CIG2011_1058","Lasioglossum","mitchelli","Lasioglossum_mitchelli","Plantago","lanceolata"
"69","2011_CRT",2011,"CR","T","1","2","NAT.CIG2011_1060","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Erigeron","philadelphicus"
"72","2011_CRC",2011,"CR","C","1","2","NAT.CIG2011_1063","Hylaeus","affinis_modestus","Hylaeus_affinis_modestus","Conioselinum","chinese"
"88","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1078","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"89","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1079","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"91","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1080","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"92","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1081","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"93","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1082","Halictus","confusus","Halictus_confusus","Cirsium","arvense"
"94","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1083","Ceratina","calcarata","Ceratina_calcarata","Cirsium","arvense"
"95","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1084","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"96","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1085","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
"100","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1089","Bombus","impatiens","Bombus_impatiens","Cirsium","arvense"
"102","2011_CRC",2011,"CR","C","2","2","NAT.CIG2011_1090","Ceratina","calcarata_dupla_mikmaqi","Ceratina_calcarata_dupla_mikmaqi","Cirsium","arvense"
