plant_genus,plant_species,plant_code
Achillea,millefolium,ACMI2_d
Achillea,millefolium,ACMI2_r
Ageratina,altissima,AGALA
Apocynum,cannabinum,APCA
Ascelpias,syriaca,ASSY
Ascelpias,tuberosa,ASTU
Bidens,aristosa,BIAR_d
Bidens,aristosa,BIAR_r
Centaurea,maculosa,CEBI2_d
Centaurea,cyanus,CECY2_mr
Centaurea,cyanus,CECY2_r
Centaurea,nigrescens,CENI3
Chamaecrista,fasciculata,CHFA_f
Chamaecrista,fasciculata,CHFA_n
Cirsium,arvense,CIAR4_d
Cichorium,intybus,CIIN_r
Cirsium,vulgare,CIVU
Conyza,canadensis,COCA5_d
Conyza,canadensis,COCA5_r
Coreopsis,lanceolata,COLA5_d
Coreopsis,lanceolata,COLA5_r
Coreopsis,tinctoria,COTI3_d
Coreopsis,tinctoria,COTI3_r
Daucus,carota,DACA6
Desmodium,paniculatum,DEPA6
Echinacea ,purpurea,ECPU_d
Echinacea ,purpurea,ECPU_r
Erigeron,annuus,ERAN_d
Erigeron,annuus,ERAN_r
Erigeron,strigosis,ERST3_d
Erigeron,strigosis,ERST3_r
Euthamia,graminifolia,EUGR5
Eutrochium,maculatum,EUMA9
Eupatorium,perfoliatum,EUPE9
Eupatorium,serotinum,EUSE2
Galium,palustre,GAPA3
Gaillardia ,pulchella,GAPU_d
Gaillardia ,pulchella,GAPU_r
Helenium,autumnale,HEAU_d
Helenium,autumnale,HEAU_r
Helianthus,decapetalus,HEDE_d
Helianthus,decapetalus,HEDE_r
Heliopsis,helianthoides,HEHE5_d
Hypericum,perforatum,HYPE
Leucanthemum,vulgare,LEVU_d
Leucanthemum,vulgare,LEVU_r
Lobelia,inflata,LOIN
Lythrum,salicaria,LYSA2
Mentha,arvensis,MEAR4
Monarda,fistulosa,MOFI
Monarda,punctata,MOPU
Oxalis,stricta,OXST
Penstemon,digitalis,PEDI
Phytolacca,americana,PHAM4
Plantago,lanceolata,PLLA
Potentilla,norvegica,PONO3
Polygonum,pensylvanicum,POPE2
Potentilla,recta,PORE5
Prunella,vulgaris,PRVU
Pycnanthemum,muticum,PYMU
Pycnanthemum,tenuifolium,PYTE
Ranunculus,bulbosus,RABU
Rhus,copallinum,RHCO
Rosa,multiflora,ROMU
Rudbeckia,hirta,RUHI2_d
Rudbeckia,hirta,RUHI2_r
Rudbeckia,laciniata,RULA3_d
Rudbeckia,laciniata,RULA3_r
Solanum,carolinense,SOCA3
Solidago,canadensis,SOCA6_d
Solidago,canadensis,SOCA6_r
Symphyotrichum,lanceolatum,SYLA6_d
Symphyotrichum,lanceolatum,SYLA6_r
Symphyotrichum,novae-angliae,SYNO2_d
Symphyotrichum,novae-angliae,SYNO2_r
Symphyotrichum,racemosum,SYRA5_d
Symphyotrichum,racemosum,SYRA5_r
Trifolium,campestre,TRCA5
Triodonis,perfoliata,TRPE4
Trifolium,pratense,TRPR2
Trifolium,repens,TRRE3
Verbena,hastata,VEHA2
