bees,sp.abund,sp.occur,stud.occ,Status_NA,source_Status_NA,Body_length_Mitchell,source_Body_length_Mitchell,Nest_place,source_Nest_place,Nest_construction,source_Nest_construction,Nest_materials,source_Nest_materials,habitat_specialist,source_habitat_specialist,Sociality,source_Sociality,Parasitic,source_Parasitic,Lecticity,source_Lecticity,Voltinism,source_Voltinism
Andrena_asteris,1,1,1,NorthEast,,12,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Andrena_bisalicis,1,1,1,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_brevipalpis,6,1,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_commoda,1,1,1,NorthEast,,11,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_fragilis,1,1,1,NorthEast,,8,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Andrena_frigida,1,1,1,NorthEast,,11,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Andrena_hirticincta,1,1,1,NorthEast,,11,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Andrena_krigiana,1,1,1,NorthEast,,8,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Univoltine,
Andrena_melanochroa,6,1,1,NorthEast,,6,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,Univoltine,
Andrena_neonana,2,1,1,NorthEast,,7,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Andrena_nivalis,1,1,1,NorthEast,,13,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Univoltine,
Andrena_screpteropsis,1,1,1,NorthEast,,NA,,soil,,Excavator,,NA,,No,,Solitary,,No,,NA,,NA,
Andrena_uvulariae,2,1,1,NorthEast,,NA,,soil,,Excavator,,NA,,NA,,NA,,NA,,NA,,NA,
Augochloropsis_sumptuosa,14,1,1,Native,,NA,,soil,,Excavator,,NA,,NA,,Solitary,,No,,Polylectic,,NA,
Bombus_sandersoni,1,1,1,NorthEast,,10.5,,cavity,,Non_excavator,,NA,,No,,Eusocial,,No,,Polylectic,,NA,
Coelioxys_alternata,1,1,1,NorthEast,,13,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Coelioxys_hunteri,1,1,1,NorthEast,,13.75,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,NA,,NA,
Coelioxys_moesta,1,1,1,NorthEast,,10.75,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,NA,,NA,
Coelioxys_rufitarsis,1,1,1,NorthEast,,15,,hole,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,Suspected_multivoltine,
Colletes_bradleyi,1,1,1,NorthEast,,9,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,Univoltine,
Colletes_brevicornis,1,1,1,Native,,NA,,soil,,Excavator,,NA,,NA,,Solitary,,No,,Polylectic,,NA,
Colletes_consors,1,1,1,NorthEast,,10,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Colletes_latitarsis,1,1,1,NorthEast,,11,,soil,,Excavator,,NA,,No,,Solitary,,No,,Oligolectic,,NA,
Colletes_nudus,2,1,1,NorthEast,,12,,soil,,Excavator,,NA,,No,,Solitary,,No,,Polylectic,,NA,
Epeolus_lectoides,12,1,1,NorthEast,,9,,soil,,Non_excavator,,NA,,No,,Solitary,,Yes,,Polylectic,,NA,
Hylaeus_confluens,3,1,1,NA,,NA,,hole,,NA,,NA,,NA,,Solitary,,No,,Polylectic,,NA,
