uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,ssp,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code,plant_genus_2013,plant_species_2013,plant_genus,plant_species,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo
NAT.CIG2011_1778,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1779,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1780,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1781,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,R,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1782,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1783,2011_URWAC,2011,4,9/16/11,URWA,PM,2,C,L,Polistes,fuscatus?,,NULL,NULL,,0000-00-00,wasp,,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1784,2011_URWAC,2011,4,9/16/11,URWA,AM,1,C,R,,,,NULL,NULL,,0000-00-00,wasp,Eumeninae,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1785,2011_URWAC,2011,4,9/16/11,URWA,AM,1,C,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1786,2011_URWAC,2011,4,9/16/11,URWA,AM,1,C,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,GN,40.701794,-74.700673,,,,
NAT.CIG2011_1787,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1788,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1789,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,Halictus,ligatus,,f,Ascher,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,yes,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1790,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1791,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1792,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,Andrena,imitatrix,,NULL,NULL,,0000-00-00,bee,,SOGI,Solidago,gigantea,Solidago,gigantea,yes,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1793,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,L,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,SYER,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
NAT.CIG2011_1794,2011_URWAT,2011,4,9/16/11,URWA,AM,2,T,R,NULL,NULL,NULL,NULL,NULL,,0000-00-00,other,NULL,Solidago 1,0,0,0,0,no,DPC,40.703892,-74.700793,,,,
