genus_species,gs,uniqueID,sc,year,round,fdate,site,AM_PM,transect,treatment,L_R,genus,species,sex,detby,Taxonomy_notes,det_date,basicID,non_bee_desc1,plant_code.x,plant_genus_2013,plant_species_2013,plant_genus.x,plant_species.x,planted,coll,lat,lon,spec_notes,plant_check1,plant_check2,error_redo,problem.,meanIT,meantongue,plant_code.y,depth,width,plant_genus.y,plant_species.y
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_3177,2013_FHT,2013,2,7/8/13,FH,AM,1,T,L,Bombus,bimaculatus,m,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,JZ,40.695583,-74.755843,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_4795,2013_DandRT,2013,2,6/28/13,DR,PM,2,T,R,Bombus,bimaculatus,m,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,AC,40.298445,-74.56289,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_griseocollis,NCIG2013_4092,2013_RandLT,2013,2,7/16/13,RL,AM,4,T,R,Bombus,griseocollis,m,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,JZ,39.856018,-77.373964,,NULL,NA,,,4.992607843,9.971809194,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_3089,2013_FHT,2013,2,7/8/13,FH,AM,3,T,L,Bombus,bimaculatus,f,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,GP,40.695583,-74.755843,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_3085,2013_FHT,2013,2,7/8/13,FH,AM,3,T,L,Bombus,bimaculatus,f,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,GP,40.695583,-74.755843,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_3073,2013_FHT,2013,2,7/8/13,FH,AM,3,T,L,Bombus,bimaculatus,m,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,GP,40.695583,-74.755843,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_4764a,2013_DandRT,2013,2,6/28/13,DR,AM,2,T,R,Bombus,bimaculatus,m,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,MR,40.298445,-74.56289,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Augochlorella_aurata,NCIG2013_3115,2013_FHC,2013,2,7/8/13,FH,AM,4,C,R,Augochlorella,aurata,f,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,no,SM,40.694391,-74.754039,,NULL,NA,,,1.488846154,2.022157213,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_4232,2013_DandRT,2013,2,6/28/13,DR,PM,3,T,R,Bombus,bimaculatus,f,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,GP,40.298445,-74.56289,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
Monarda_fistulosa,Bombus_bimaculatus,NCIG2013_3519,2013_SHT,2013,2,7/14/13,SH,AM,2,T,R,Bombus,bimaculatus,m,J_Gibbs,,0000-00-00,bee,,MOFI,Monarda,fistulosa,Monarda,fistulosa,yes,MR,39.330081,-75.251231,,NULL,NA,,,4.348418605,8.733286243,MOFI,15.93033333,2.955392128,Monarda,fistulosa
