year,ent_by,site,date,round,obs,tran,t_c,quadrat,plant_code,plant_genus,plant_species,count,count_unit,notes
2015,ES,SH,12-Jun,1,ES,1,T,1,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,1,CIAR4,Cirsium,arvense,,,
2015,ES,SH,12-Jun,1,ES,1,T,2,PONO3,Potentilla,norvegica,,,
2015,ES,SH,12-Jun,1,ES,1,T,3,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,4,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,4,CIAR4,Cirsium,arvense,,,
2015,ES,SH,12-Jun,1,ES,1,T,4,SILA21,Silene,latifolia,,,
2015,ES,SH,12-Jun,1,ES,1,T,5,CIAR4,Cirsium,arvense,,,
2015,ES,SH,12-Jun,1,ES,1,T,5,SILA21,Silene,latifolia,,,
2015,ES,SH,12-Jun,1,ES,1,T,6,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,6,CIAR4,Cirsium,arvense,,,
2015,ES,SH,12-Jun,1,ES,1,T,7,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,1,T,8,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,9,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,1,T,10,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,11,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,1,T,12,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,1,T,13,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,14,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,15,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,16,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,1,T,17,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,17,white penstemon,CHECK,CHECK,,,collected. pink penstemon is same as white penstemon
2015,ES,SH,12-Jun,1,ES,1,T,18,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,19,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,19,SILA21,Silene,latifolia,,,
2015,ES,SH,12-Jun,1,ES,1,T,20,SILA21,Silene,latifolia,,,
2015,ES,SH,12-Jun,1,ES,1,T,21,pink penstemon,CHECK,CHECK,,,collected. pink penstemon is same as white penstemon
2015,ES,SH,12-Jun,1,ES,1,T,22,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,23,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,24,SILA21,Silene,latifolia,,,
2015,ES,SH,12-Jun,1,ES,1,T,25,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,1,T,26,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,27,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,28,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,29,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,1,T,30,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,1,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,2,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,3,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,2,T,4,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,5,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,6,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,7,SILA21,Silene,latifolia,,,
2015,ES,SH,12-Jun,1,ES,2,T,8,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,2,T,9,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,10,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,11,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,12,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,13,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,2,T,14,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,15,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,16,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,17,PLLA,Plantago,lanceolata,,,
2015,ES,SH,12-Jun,1,ES,2,T,18,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,19,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,20,none,none,none,,,
2015,ES,SH,12-Jun,1,ES,2,T,21,none,none,none,,,
