"","genus_species","gs","X","uniqueID","sc","year","round","fdate","site","AM_PM","transect","treatment","L_R","genus","species","ssp","sex","detby","Taxonomy_notes","det_date","basicID","non_bee_desc1","plant_code.x","plant_genus_2013","plant_species_2013","plant_genus.x","plant_species.x","planted","coll","lat","lon","spec_notes","plant_check1","plant_check2","error_redo","problem.","Problem","status","project","meanIT","meantongue","plant_code.y","depth","width","plant_genus.y","plant_species.y"
"1","Monarda_fistulosa","Bombus_griseocollis",1656,"NAT.CIG2012_0302","2012_ABT",2012,2,"7/9/12","AB","AM",2,"T","R","Bombus","griseocollis","","q","J.Ascher","","11/11/12","bee",NA,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","DPC",39.780504,-74.767308,"",NA,"","","",NA,"CHECK","Davis_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"2","Monarda_fistulosa","Ceratina_calcarata",7446,"NCIG2013_4264","2013_DandRT",2013,2,"6/28/13","DR","AM",3,"T","L","Ceratina","calcarata",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","GP",40.298445,-74.56289,"",3,NA,"","",NA,"KEPT","Davis_CIG",1.261979592,2.663114517,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"3","Monarda_fistulosa","Bombus_griseocollis",5699,"XCIG2015_5539","2015_ABT",2015,2,"6/30/15","AB","AM",1,"T",NA,"Bombus","griseocollis",NA,"f","J. Gibbs","","11/11/15","bee",22,"MOFI",NA,NA,"Monarda","fistulosa",NA,"ES",39.7805,-74.76731,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"4","Monarda_fistulosa","Bombus_impatiens",6108,"XCIG2015_5984","2015_DRT",2015,2,"7/16/15","DR","AM",1,"T",NA,"Bombus","impatiens",NA,"f","J. Gibbs","","11/11/15","bee",22,"MOFI",NA,NA,"Monarda","fistulosa",NA,"ES",40.29845,-74.56289,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.930735632,9.853144515,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"5","Monarda_fistulosa","Bombus_bimaculatus",3105,"XCIG2014_1467","2014_ABT",2014,2,"7/5/14","AB","AM",2,"T","NULL","Bombus","bimaculatus",NA,"f","Gibbs","","12/1/14","bee",NA,"MOFI",NA,NA,"Monarda","fistulosa",NA,"MR",39.780504,-74.767308,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"6","Monarda_fistulosa","Bombus_bimaculatus",7499,"NCIG2013_4796","2013_DandRT",2013,2,"6/28/13","DR","PM",4,"T","R","Bombus","bimaculatus",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","SM",40.298445,-74.56289,"",3,NA,"","",NA,"CHECK","Davis_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"7","Monarda_fistulosa","Bombus_griseocollis",3391,"XCIG2014_1769","2014_SHT",2014,2,"7/11/14","SH","AM",1,"T","NULL","Bombus","griseocollis",NA,"f","Gibbs","","12/1/14","bee",NA,"MOFI",NA,NA,"Monarda","fistulosa",NA,"MR",39.330081,-75.251231,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.992607843,9.971809194,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"8","Monarda_fistulosa","Bombus_bimaculatus",7612,"NCIG2013_3239","2013_FHC",2013,2,"7/8/13","FH","AM",1,"C","R","Bombus","bimaculatus",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","no","JZ",40.694391,-74.754039,"",3,NA,"","",NA,"CHECK","Davis_NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"9","Monarda_fistulosa","Bombus_bimaculatus",7765,"NCIG2013_3787","2013_FHT",2013,2,"7/8/13","FH","PM",1,"T","R","Bombus","bimaculatus",NA,"f","J_Gibbs","","11/11/13","bee",1,"MOFI","Monarda","fistulosa","Monarda","fistulosa","yes","JZ",40.695583,-74.755843,"",3,NA,"","",NA,"CHECK","Davis_NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
"10","Monarda_fistulosa","Bombus_bimaculatus",3302,"XCIG2014_1674","2014_DRT",2014,2,"7/7/14","DR","PM",1,"T","NULL","Bombus","bimaculatus",NA,"f","Gibbs","","12/1/14","bee",NA,"MOFI",NA,NA,"Monarda","fistulosa",NA,"MR",40.298445,-74.56289,NA,NA,NA,NA,NA,NA,"ANSP 2015","NJ_CIG",4.348418605,8.733286243,"MOFI",15.93033333,2.955392128,"Monarda","fistulosa"
